PDBCode,affinity
2ez7,43.5
2h15,2.1350000000000002
2hl4,0.023
2hnc,0.06
2hoc,0.0003
2o4z,0.5660000000000001
2pou,0.038
2pov,0.075
2pow,0.063
2q1q,0.007
2q38,5.95
2weg,0.314
2weh,1.125
2wej,0.839
2weo,0.11800000000000001
2x7t,0.232
2x7u,5.34
3b4f,0.007200000000000001
3bl0,0.121
3bl1,2.52
3d8w,0.007
3d9z,0.002
3daz,0.011800000000000001
3dbu,0.0088
3dc3,0.004900000000000001
3dcc,0.0011
3dd0,0.001
3dd8,0.014
3eft,0.012
3f8e,0.059000000000000004
3ffp,0.0725
3hkn,4.51
3hkq,4.55
3hkt,4.1
3hku,0.005
3hs4,0.01
3ibi,0.0026000000000000003
3ibl,0.0146
3ibn,0.0245
3ibu,0.0007
3igp,0.0945
3k2f,0.063
3kwa,84.0
3m1k,4.1
3m3x,0.15
3m40,0.17
3m5e,0.043
3m67,0.18
3m96,0.06
3mhc,0.011
3mhi,0.2
3mhl,0.056
3mhm,0.1
3mho,0.32
3ml2,0.009000000000000001
3mmf,0.037
3mna,0.041
3myq,0.03
3mzc,0.226
3n0n,0.05
3n2p,0.015
3n3j,0.0033
3n4b,0.096
3nb5,0.018000000000000002
3ni5,0.028
3oil,2.1
3oim,0.18
3oku,0.44
3oy0,0.0101
3oyq,0.0103
3p4v,8.0
3p58,0.0254
3p5l,0.040799999999999996
3po6,0.0873
3r16,0.05
3r17,0.39
3ryj,0.016
3ryv,0.08600000000000001
3ryx,0.0073
3ryy,0.038
3ryz,0.0024
3rz0,0.028
3rz1,0.0018000000000000002
3rz5,0.013000000000000001
3rz7,0.0011
3rz8,0.0067
3s71,0.0023
3s72,0.4
3s73,0.002
3s75,0.15
3s76,9.0
3s77,0.061
3s78,0.34
3t5u,0.026
3t82,0.101
3t83,0.105
3t84,0.106
3t85,0.011300000000000001
3v7x,0.0027
3vbd,0.0086
4bf1,0.0024
4bf6,0.0045000000000000005
4e3g,10.6
4ht0,0.01
4itp,0.054
4iwz,0.051000000000000004
4jsa,11.0
4jss,500.0
4jsz,5000.0
4kni,0.0167
4knj,0.0111
4m2r,0.0032
4m2u,0.0091
4m2v,0.036000000000000004
4m2w,0.052000000000000005
4mo8,0.0101
4q08,0.5
4q09,0.0067
4q6d,0.043500000000000004
4q6e,0.667
4q7p,48.0
4q7s,38.0
4q7v,260.0
4q7w,2300.0
4q81,950.0
4q83,64.0
4q87,14.0
4q8x,270.0
4q8y,2300.0
4q90,7000.0
4q99,0.52
4q9y,2.1
4qtl,0.12
4qy3,0.15
4r59,0.011
4r5a,0.002
4r5b,0.185
4rfc,0.0057
4rfd,0.0089
4riu,0.05
4riv,0.1
4rn4,0.114
4rux,0.012
4ruy,0.0128
4ruz,0.023100000000000002
4yx4,1.0734000000000001
4yxi,0.31880000000000003
4yyt,0.4183
4z0q,0.0068
4z1e,0.0057
4z1j,0.0077
4z1k,0.0047
4zwx,0.002
4zwz,0.002
4zx0,0.01
4zx1,0.725
5amd,0.0028
5amg,0.006
5aml,0.0007
5byi,0.0307
5e28,0.0123
5e2k,0.009300000000000001
5e2r,0.0862
5e2s,0.00098
5eh5,1.35
5eh7,330.0
5eh8,791.0
5ehv,826.0
5ehw,1005.0
5eij,4.86
5ekm,0.48
5fdc,0.0348
5fdi,0.0185
5flo,709.0
5flq,1080.0
5fls,905.0
5flt,1280.0
5fng,1105.0
5gmn,18.8
5j8z,0.005
5ljq,0.001
5ljt,0.0012
5llc,0.0003
5lle,6e-05
5llg,7.4e-06
5llh,6.7e-05
5mjn,0.0029
5n0d,0.0033
5n0e,0.0036000000000000003
5n1r,0.0111
5n1s,0.010199999999999999
5n24,0.0012
5n25,0.0166
5nea,5e-05
5nee,2e-05
5nxg,0.0028
5nxi,0.2174
5nxo,0.004900000000000001
5nxp,0.010199999999999999
5nxw,0.0574
5ny1,0.36669999999999997
5ny3,0.0339
5nya,0.4156
5o07,0.0338
5sz0,0.0008
5sz1,0.0012
5sz2,0.002
5sz3,0.0025
5sz4,0.0002
5sz5,0.02
5sz6,0.099
5sz7,0.0002
5tfx,0.0609
5th4,1420.0
5ti0,61.0
5txy,3.5
5ty9,6.1
5tya,32.9
5u0d,28.6
5u0e,7.7
5u0f,3.4
5u0g,26.2
5uln,0.014199999999999999
5vgy,65.5
5wex,0.0663
5wgp,2.4
6b4d,0.78
6b59,0.008199999999999999
6c7w,3.41
6c7x,0.06520000000000001
6cjv,2.2
6ebe,0.2
6ecz,0.27
6eeo,0.37
6equ,0.419
6g3q,0.0579
6got,0.0004
6h29,2.4
6h2z,0.0005
6h33,0.0006
6h34,0.0005
6ql2,0.017
6ql1,0.33
6oe1,0.0031000000000000003
6oe0,0.0012
6odz,0.0007
6ic2,0.9174
6gxe,0.009000000000000001
6gxb,0.035
6g6t,0.02
6ugn,0.7635000000000001
6ugp,0.6855
6ugr,0.5336000000000001
6ugz,0.019100000000000002
6uh0,0.8531000000000001
1bp0,4.0
1jmf,1.7
1jmg,0.85
1bq4,6.0
1br6,600.0
1bxo,0.0001
1bxq,0.042
2web,7.6
2wec,110.0
2wed,0.8
1bzc,12.0
1bzj,22.0
1c83,14.0
1c84,9.9
1c86,20.0
1c87,63.0
1c88,5.1
1ecv,14.0
1g7f,3.4
1g7g,0.25
1gfy,8.32
1kav,1.5
1l8g,0.6
1nl9,1.1
1nny,0.022
1no6,39.0
1nwl,4100.0
1nz7,0.076
1ony,0.17
1onz,8.0
1pyn,3.2
1qxk,9.0
1xbo,0.92
2azr,230.0
2b07,0.37
2f6t,24.0
2h4g,0.3
2h4k,3.2
2hb1,160.0
2nt7,0.3
2nta,16.0
2qbp,0.004
2qbq,0.036
2qbr,0.47
2qbs,0.21
2zmm,0.025
2zn7,0.013000000000000001
3eax,12.0
3eb1,16.3
4i8n,35.0
5k9w,26.0
5ka1,33.0
5ka7,45.0
5ka9,39.0
5kab,21.0
5kad,37.0
5t19,32.0
1bzy,0.0046
1c3x,210.0
1c5x,0.21
1c5y,63.0
1ejn,2.4
1f5k,180.0
1f5l,5.3
1gi7,31.0
1gjc,0.45
1o5a,0.38
1o5c,6.0
1owe,0.631
1owh,0.04
1sqa,0.00062
1sqo,0.035
1sqt,0.63
1w0z,0.021
1w11,0.006
1w13,0.002
2r2w,34.0
2vnt,0.0099
3kgp,2680.0
3mhw,5030.0
4h42,341.0
5za7,1.356
5za8,0.508
5za9,0.183
5zae,0.156
5zaf,0.166
5zag,0.108
5zaj,0.042
5zc5,0.088
6nmb,2009.9999999999998
1c70,5e-05
1cet,1300.0
1d2e,1.0
1d7i,250.0
1d7j,500.0
1j4r,0.019
1df8,0.0002
1swg,0.0439
1swr,0.12
2izl,1.0
3rdo,0.00014000000000000001
3rdq,0.00049
3wzn,0.1
3x00,0.00083
4y59,5.8
4y5d,1.2
5b5f,5.6
5b5g,5.6
5n99,61.3
1dgm,8.9
1dqn,0.01
1duv,1.6e-06
1dy4,44.0
1dzk,0.8
1e2k,11.4
1e2l,51.5
1e3g,0.00099
1xow,0.0005200000000000001
1z95,0.076
2ax9,0.0003
3b5r,0.0017
3b65,0.00054
3b66,0.0025
3b67,0.0014
3b68,0.004
5cj6,0.0020299999999999997
1e3v,45.74
1ogx,0.81
5g2g,0.9
1e5j,100.0
1h5v,117.0
1ocq,6.5
1w3k,50.0
1w3l,0.52
8a3h,88.0
1e66,0.00013000000000000002
1gpk,4.3
1gpn,0.334
1h22,0.0008
1h23,0.0045000000000000005
3zv7,1.2
5bwc,0.061
5nap,0.01112
5nau,0.02986
6euc,168.0
1e6q,700.0
1e6s,600.0
1ec9,800.0
1ecq,1000.0
1efy,0.006
6i8t,1.76
6i8m,0.016
1egh,2.0
1ik4,0.039
1s89,5.8
1enu,8.3
1f3e,0.2
1k4g,1.4
1k4h,7.7
1q65,3.5
1r5y,0.35
1s38,7.0
1s39,0.02
2qzr,0.055
2z1w,83.0
3gc4,0.025
3gc5,0.055
3ge7,0.002
3rr4,28.05
4kwo,0.353
4lbu,0.276
4leq,0.28800000000000003
4pum,0.1881
4q4o,0.0343
4q4p,0.4074
4q4q,1.6389
4q4r,0.3692
4q4s,0.11159999999999999
5jxq,0.007
1ew8,5500.0
1ew9,600.0
1ex8,0.47
4f7v,4.16
1ez9,8.0
1ezq,0.0009000000000000001
1f0r,0.022
1f0s,0.018000000000000002
1fjs,0.00011
1g2l,0.057
1ksn,0.0004
1lpg,0.082
1lpk,0.028
1lpz,0.025
1mq5,0.001
1mq6,7e-06
1nfu,0.018000000000000002
1nfw,0.0011
1nfx,0.003
1nfy,0.0013000000000000002
1xka,0.131
1z6e,0.00019
2boh,0.003
2bok,0.28
2bq7,0.089
2j2u,0.047
2j34,0.015
2j4i,0.001
2j94,0.534
2j95,0.004
2jkh,0.009000000000000001
2p16,8e-05
2p95,0.00043
2ra0,0.0159
2uwl,0.004
2uwo,0.002
2uwp,0.154
2vh0,0.0031000000000000003
2vh6,0.0002
2vvc,0.003
2vvu,0.008
2vvv,0.006
2vwl,0.095
2vwm,0.093
2vwn,0.01
2vwo,0.031
2w26,0.0004
2wyg,0.002
2wyj,0.001
2xbv,0.0037
2xbw,0.01
2xbx,0.015
2xc0,0.192
2xc4,0.009000000000000001
2y5f,0.002
2y5g,0.146
2y5h,1.62
2y7x,0.0013000000000000002
2y7z,0.002
2y80,0.009000000000000001
2y81,0.002
2y82,0.004
3cs7,2.1e-05
3ffg,0.00084
3liw,0.025
3m36,0.00015
3m37,0.00091
4a7i,0.002
4y79,0.011
5k0h,0.081
1f4e,1100.0
1f4f,24.0
1f4g,0.33
1f57,2.3
1hdq,1.5
1hee,4.6
1iy7,0.64
2rfh,0.15
3fvl,0.86
3fx6,0.16
3kgq,5000.0
1f73,4100.0
1f74,900.0
1f8b,4.0
1f8c,0.04
1f8d,400.0
1f8e,15.0
2qwb,1820.0
2qwc,280.0
2qwd,14.0
2qwe,0.033
2qwf,2.16
1fao,0.043
1fch,0.07
1fcx,0.064
1fcy,0.003
1fcz,0.0006
1fd0,0.004
1fh7,5.8
1fh8,0.13
1fh9,0.37
1fhd,0.15
1j01,0.34
1fkn,0.0016
1m4h,0.0003
2fdp,0.026000000000000002
2g94,0.0003
2p4j,0.0011
2qmg,0.0007
2vkm,0.0018000000000000002
3bra,2000.0
3buf,800.0
3bug,660.0
3buh,220.0
3ckp,0.449
3i25,0.0031000000000000003
3kmx,15.0
3kmy,32.0
3l59,200.0
3lpi,0.003
3lpk,0.0008
3rsx,38.8
3ru1,14.2
3udh,1400.0
4dju,3.6
4djv,0.19
4djw,0.53
4djx,0.059000000000000004
4djy,0.0054
4fm7,0.057
4fm8,1.06
4fs4,0.27
4fsl,0.02
4gid,1.7000000000000003e-05
4h3f,0.001
4h3g,0.006
4h3j,0.09
4ha5,0.058
5dqc,0.0456
5htz,0.0024
5i3v,0.016
5i3w,0.0006
5i3x,0.008
5i3y,0.0004
5ie1,0.14
5v0n,0.06709999999999999
6ej2,0.016
6ej3,1.179
6nv9,0.0064
6nv7,0.0121
6nw3,0.0221
1fq5,0.004
1ft7,6.6
1txr,0.018000000000000002
3b3c,105.0
3b3s,2800.0
3b3w,65.0
3b7i,1.5
3vh9,0.58
1ftm,0.024800000000000003
1my4,0.105
1p1n,0.16
1p1o,1.74
1p1q,12.8
1syh,0.393
1syi,3.59
1wvj,0.185
1xhy,0.662
2al5,0.004
2p2a,0.75
3bft,0.323
3bfu,0.531
3pd8,0.34800000000000003
3pd9,0.6
3rtf,0.045
3tza,3.15
4g8m,0.0128
4igt,0.0128
4isu,210.0
4n07,0.35
4o3c,2570.0
4x48,0.17
5cbr,1.8
5cbs,3.9
5fhm,8.15
5fhn,1.27
5fho,0.213
5nih,0.134
6q60,1.97
6q54,0.32
1fv0,1.18
1jq8,1.01
1kpm,1.59
1q7a,0.064
1sv3,45.0
2arm,0.021
3h1x,1.3
4qem,0.016
4qer,0.029
4qf7,0.0025
4qf8,0.031
4qgd,0.037
1fzq,0.024
1g2o,2.8e-05
1n3i,0.0013000000000000002
1g74,0.3
2ans,1.2
2qm9,0.017
3hk1,0.67
1g7v,0.4
1phw,500.0
1g85,3.3
1g98,2.0
1koj,0.2
1gvw,0.11
1gvx,0.06
2v00,220.0
3prs,0.015
3pww,0.048
3uri,0.001
3wz6,1.1
3wz7,1.8
3wz8,1.5
4y3j,6800.0
4y3y,4500.0
4y4j,3400.0
5hct,0.0254
1gwv,2680.0
1o7o,32.0
1gx8,0.43
2gj5,0.00474
3nq3,167.0
3nq9,92.6
3ueu,5.81
3uev,1.29
3uew,0.49
3uex,0.12
4gny,60.0
6ge7,0.867
6gf9,0.411
6gfs,0.291
6ghh,0.193
6qi7,0.35
1gyx,3300.0
1gyy,230.0
1h0a,3.6
1h46,270.0
1h4w,22.0
5tp0,3.66
1h6h,5.0
1hi3,64.0
1hi4,32.0
1hi5,92.0
5e13,57.8
1hk4,4.9
6ezq,22.0
1hlk,10.0
1hn4,150.0
3qlm,0.431
1hp5,0.28
1jak,2.7
5fcz,63.0
6s5k,0.0479
6s4t,0.0112
6s4n,0.162
4rak,0.014
5jy3,0.012
1hxw,1.4999999999999999e-05
2wkz,0.0017
2wl0,0.016
2xye,0.0046
2xyf,0.0036000000000000003
4ej8,4.1
4ejl,7.2
1hyo,84.8
2hzy,0.041
1i1e,9.4
1i2s,490.0
3b3x,250.0
1i37,0.00027
2ihq,0.0032
3g0w,0.0003
1i5r,0.003
3hb4,0.0009000000000000001
6mnc,1.6
1ie9,6.500000000000001e-05
1s19,0.00031
1ii5,0.24
1iih,1300.0
1kv5,60.0
2j27,300.0
2v2c,390.0
2v2h,170.0
1ikt,400.0
1izh,0.02
1j14,32.2
1j16,143.0
1j17,6.05
1ql9,4.45
1j36,0.018000000000000002
1j37,0.0011
2x8z,0.011
2x91,0.18
2x95,11.3
2x96,94.0
2x97,2.2
2xhm,0.16
4ca7,0.044
4ca8,0.21
1jcx,7.0
3e12,1.02
1jgl,0.002
1jlr,465.0
1upf,25.0
6s57,8.0
6s56,8.0
4qsu,10000.0
4qsv,10000.0
4tt2,22.0
4tte,202.0
4tu4,175.0
4tz2,350.0
5a5q,21.0
5a81,2.9
1jqy,12.0
1pzi,60.0
1jyq,0.002
3ov1,6.25
3ove,0.27
3s8l,2.3
3s8n,0.62
3s8o,0.14
1jys,300.0
1nc1,0.75
1nc3,10.0
1y6q,2e-06
1y6r,7.7e-05
4yml,0.0045000000000000005
1jzs,0.25
1k1y,600.0
1k27,0.001
6dz3,0.0013000000000000002
6dz2,0.0014
6dz0,0.00094
6dyz,0.00063
1k6c,0.033
1k6p,0.044
1k6t,0.024
1k6v,0.12
1t7j,0.002
4a6b,0.004200000000000001
4a6c,0.012
1kc7,3.0
1kdk,0.0009000000000000001
1lhu,0.00148
1kjr,0.88
3t1m,910.0
5e89,0.014
5h9r,0.84
6eog,1.6
6eol,0.037
6qlu,23.0
6qlt,92.0
6qls,4.5
6qlr,15.0
6qlq,31.0
6qlp,5.2
6qlo,8.8
6qln,22.0
6qge,2.1
6qgf,1.0
1km3,12.4
1loq,200.0
1x1z,8.8e-06
2zz1,29.0
2zz2,29.0
3g1d,330.0
3g1v,645.0
3w07,420.0
3wjw,134.0
1kmy,8.0
1lgt,0.8
1kug,160.0
1kui,169.0
1kuk,124.0
1kv1,1.16
1yqj,0.0073
2baj,0.004
2bak,0.037
2bal,0.49
2yix,0.0033
2zb1,0.48
3d7z,0.012
3d83,0.0044
3e92,0.01
3e93,0.0014
3gcp,0.015
3gcs,0.056
3gcu,0.165
3hl7,0.023
3hll,0.0058
3hub,0.008199999999999999
3huc,1.03
3iph,0.0251
3iw5,0.839
3iw6,3.29
3o8p,0.35000000000000003
3roc,0.0064
4f9w,0.114
4f9y,0.184
5tbe,0.0010600000000000002
1kyv,1.2
1kzn,0.0012
4duh,6.6
4zvi,0.47
1lbf,0.014
1lee,0.018000000000000002
1lf2,0.03
1lgw,100.0
1li2,91.0
1li3,56.0
1li6,160.0
4i7j,480.0
4i7k,905.0
4i7l,103.0
4i7m,72.0
4i7p,317.0
4w52,175.0
1lke,0.0302
1lnm,0.002
1n0s,0.0352
1lrh,0.15
1lyx,29.0
1m0n,6000.0
1m0o,4900.0
1m0q,130.0
1zc9,600.0
1m1b,22.0
1m2p,0.78
1m2q,0.8
1m2r,0.35
1om1,0.17
1zoe,0.04
1zog,0.07
1zoh,0.1
2oxd,0.15
2oxx,0.2
2oxy,0.3
2pvh,0.26
2pvj,0.008
2pvk,0.005
2pvl,0.024
2pvm,0.36
3be9,0.024
3fl5,0.052000000000000005
3pwd,0.22
1m2x,70.0
1m48,8.2
1m5w,54.0
1m7y,1.1e-05
1m83,400.0
1mfi,2.6
1moq,350.0
1xff,15.0
1mrn,30.0
1mrs,110.0
4unp,590.0
1n1m,2.0
2oag,0.0034
2ole,0.05620000000000001
3nox,0.0022
3sww,0.004
4jh0,0.00094
4lko,0.006
5kby,0.0015
1n46,3e-05
1n4k,8.999999999999999e-05
1n51,14.0
1n5r,2.2
1q84,8.900000000000001e-06
2ha2,22.0
2ha3,930.0
2ha6,48.0
2whp,100.0
4ara,0.9
4arb,1.3
5ehq,3.2999999999999996e-05
1ndv,1.2
1ndw,5.9
1ndy,0.68
1ndz,0.0077
1o5r,0.0075
1qxl,0.011
1uml,0.03
1v7a,0.009800000000000001
2e1w,0.011
1nf8,0.015
1nhu,2.2
1os5,0.14
3cj2,14.0
3cj4,0.31
3cj5,0.46
3mf5,4.32
4b73,0.062
4b74,0.022
4b76,29.0
4eo6,0.002
4eo8,0.007
4ih5,78.0
4ih6,18.0
4ih7,5.8
1nhz,0.84
1njs,0.015
4ew2,0.21
4ew3,0.18
1nki,0.2
1nli,260.0
1np0,270.0
1nvq,0.0056
1nvr,0.0078
1nvs,0.015
2br1,7.2
2brb,13.7
2brm,1.3
2c3l,8.58
2e9u,0.007940000000000001
3jvr,1.89
3jvs,0.29
5oot,0.0285
5op4,0.194
5op5,0.216
5oq8,1.41
1nw4,0.00086
1q1g,0.0027
6aqs,0.028
1nw5,6.1
1nw7,8.1
1o5e,1.8
1p57,40.0
1o86,0.00027
2oc2,0.003
2xyd,0.15
3bkk,0.83
3bkl,0.679
3l3n,0.0066
3nxq,0.007
4ca5,0.00041
4ca6,0.18
6en5,0.01145
6f9u,7.4
6f9v,0.1719
6h5x,1.5e-05
1oar,0.04
1oau,0.02
1oba,3600.0
1od8,8.0
1v0k,8.0
1v0l,0.028
1odi,62.0
1odj,80.0
1oe8,3.0
1ogd,930.0
1ogg,6.4
1ogz,1.4
1ohr,0.002
1oif,0.019
1uz1,0.13
1w3j,0.484
2cbu,2.1
2cbv,3.3
2ces,0.056
2cet,0.0096
2j75,0.225
2j77,12.9
2j78,0.384
2j79,1.1
2j7b,0.24
2j7d,0.074
2j7e,0.048
2j7f,0.445
2j7g,0.1
2j7h,0.065
2vrj,0.5
2wbg,35.2
2wc3,0.83
