lig_name,SMILE
HWY,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@@H]2[C@H](C1)N(C(=O)O2)c1ccccc1)O)CC(C)C
J0S,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@@H]2[C@H](C1)NC(=O)O2)O)CC(C)C
FRA,OC(=O)COC(=O)N[C@]12CC[C@H](CC1)[C@@H]1[C@H]2C(=O)N(C1=O)c1ccc(cc1)NC(=O)C
GNH,O[C@@H]1[C@@H](COP(OP(O)(O)N)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
FMB,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c2c1nc[nH]c2=O
FM2,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c2c1nc[n+](c2N)C
0Q4,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CC(C)C)Cc1ccccc1)CCC(=O)O)C
0ZR,NC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)[NH2+]C[C@@H]([C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1)O
Q50,NC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)NC(=O)[C@@H](C[C@@H]([C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1)O)Cc1ccccc1
0ZQ,OC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)[NH2+]CC[C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1
K57,O=C([C@H]1N(CSC1(C)C)C(=O)[C@H]([C@@H](NC(=O)c1cccc(c1C)O)Cc1ccccc1)O)NC(C)(C)C
JE2,O[C@H](C(=O)N1CSC([C@H]1C(=O)NCc1ccccc1C)(C)C)[C@@H](NC(=O)c1cccc(c1C)O)Cc1ccccc1
5-mer,O=C(N[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)O)CCC(=O)O)Cc1ccccc1)O)Cc1ccccc1)OCc1ccccc1
MK1,O[C@H](C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1cccnc1)C[C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)Cc1ccccc1
RIT,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1
G0G,O=S(=O)(N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccccc1)Cc1ccccc1)Cc1ccccc1)c1ccccc1
G3G,Nc1ccc(cc1)S(=O)(=O)N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccc(cc1)N)Cc1ccccc1)Cc1ccccc1
G4G,NC(=O)c1ccc(cc1)S(=O)(=O)N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccc(cc1)C(=O)N)Cc1ccccc1)Cc1ccccc1
1UN,O[C@@H]([C@@H](NC(=O)c1cccc(c1C)O)CSc1ccccc1)C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
065,CC(CN(S(=O)(=O)c1ccc2c(c1)OCO2)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
QN1,NC(=O)c1ccc(cc1)S(=O)(=O)N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccc(cc1)C(=O)N)Cc1ccc(cc1)C(F)(F)F)Cc1ccc(cc1)C(F)(F)F
QN2,Ic1ccc(cc1)CN(S(=O)(=O)c1ccccc1)[C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccccc1)Cc1ccc(cc1)I
QN3,Clc1ccccc1S(=O)(=O)N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccccc1Cl)Cc1ccccc1)Cc1ccccc1
KNJ,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)NCC(=C)C)(C)C)O)Cc1ccccc1)COc1c(C)cc(cc1C)N
2NC,CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC[NH+]=C(N)N)CCC(=O)N)[NH2+]C[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H]([C@H](O)C)NC(=O)C)CCCC
G55,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOCOC1)O)CC(C)C
G05,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@H]2[C@@H](C1)OCCO2)O)CC(C)C
031,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@@H]2[C@H](C1)CCO2)O)C[C@H]1CCC(=O)N1
GR6,COc1ccc2c(c1)OCC/C=C/CCCCN(S2(=O)=O)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O
006,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)COc1c(C)cccc1C
JZP,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)COc1c(Cl)cccc1Cl
JZQ,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)COc1c(F)cccc1F
G89,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@H]2[C@@H](C1)OC[C@@H]2O)O)CC(C)C
0JV,COC(=O)N[C@@H]1CO[C@H]2[C@@H]1C[C@H](C2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)Cc1ccccc1
PUT,[NH3+]CCCC[NH3+]
U0E,NC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)CCC[NH+]=C(N)N)NC(=O)[C@H](C(C)C)C[C@@H]([C@@H](NC(=O)C)CC1CCCCC1)O
BEH,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1ccccc1)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
BEG,O=C([C@@H](C[C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
MSC,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1c(F)cccc1Cl)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
BEI,CC[C@@H]([C@@H](C(=O)NC)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)[C@H](CC)C)OCc1ccccc1)O)O)OCC1=CCC=CC1)C
BEB,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
BEC,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)O)OCc1ccccc1
BED,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1F)O)O)OCc1ccccc1F)N[C@@H]1[C@H](O)Cc2c1cccc2
BEE,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)C(C)C)OCc1ccc(cc1)c1cscc1)O)O)OCc1ccc(cc1)c1cscc1
BEJ,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)C(C)C)OCc1ccc(cc1)c1cccnc1)O)O)OCc1ccc(cc1)c1cccnc1
MS3,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NCc1ccccn1)C(C)C)OCc1ccccc1)O)O)OCc1ccccc1)N[C@H](C(=O)NCc1ccccn1)C(C)C
AHF,COC(=O)c1ccc(cc1)CN1[C@H](COc2ccccc2)[C@H](O)[C@H]([C@H](N(S1(=O)=O)Cc1ccc(cc1)CO)COc1ccccc1)O
DMP,OCc1ccc(cc1)CN1[C@H](Cc2ccccc2)[C@H](O)[C@H]([C@H](N(C1=O)Cc1ccc(cc1)CO)Cc1ccccc1)O
BE3,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1cccc(c1)F)O)O)OCc1cccc(c1)F)N[C@@H]1[C@H](O)Cc2c1cccc2
BE4,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccc(cc1F)F)O)O)OCc1ccc(cc1F)F)N[C@@H]1[C@H](O)Cc2c1cccc2
BE5,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1cccc(c1F)F)O)O)OCc1cccc(c1F)F)N[C@@H]1[C@H](O)Cc2c1cccc2
BE6,Fc1ccc(c(c1)CO[C@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1cc(F)ccc1F)O)O)C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)F
A83,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@@H](n1nnc(c1)CNC(=O)c1ccc(cc1)CNC(=O)OC(C)(C)C)Cc1ccccc1)O)CC(C)C
0ZS,OC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)[NH2+]C[C@H]([C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1)O
DR7,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)c1ccccn1)C[C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O
HI1,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)Br)CCC[C@](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(Cc1ccccc1)O
HV1,COC(=O)N[C@@H](C(C)(C)C)C(=O)NN(C(=O)CC[C@](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(Cc1ccccc1)O)Cc1ccc(cc1)Br
478,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
G04,CO[C@H]1CO[C@H]2[C@@H]1[C@H](CO2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)Cc1ccccc1
EQM,C=CCNC(=O)[C@H](C(C)(C)C)NC(=O)[C@](Cc1ccccc1)(CCC[N@H+](Cc1ccc(cc1)Br)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O
M8B,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)Br)CCC[C@@]1(O)Cc2ccc(cc2)C/C=C\CNC(=O)[C@@H](NC1=O)C(C)(C)C
9MW,CCCNC(=O)[C@H](C(C)C)NC(=O)[C@](Cc1ccc(cc1)CCC)(CCC[N@@H+](NC(=O)[C@H](C(C)(C)C)NC(=O)OC)Cc1ccc(cc1)c1ccncc1)O
378,C=CCNC(=O)[C@H](C(C)C)NC(=O)[C@](Cc1ccc(cc1)CC=C)(CCC[N@@H+](NC(=O)[C@H](C(C)(C)C)NC(=O)OC)Cc1ccc(cc1)c1cccs1)O
1T8,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)c1ccncc1)CCC[C@@]1(O)Cc2ccc(cc2)C/C=C\CNC(=O)[C@@H](NC1=O)C(C)C
V78,COC(=O)N[C@@H](C(C)(C)C)C(=O)N/[N](=C\c1ccc(cc1)c1cscc1)/CCC[C@@]1(O)Cc2ccc(cc2)CC/C=C\NC(=O)[C@@H](NC1=O)C(C)C
G64,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@@H](NC(=O)c1cc(C)cc(c1)C(=O)N(Cc1nc(oc1C)C)C)Cc1ccccc1)O)CC(C)C
G61,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@@H](NC(=O)OC(C)(C)C)Cc1cccc(c1)c1cc(OC)cc(c1)OC)O)CC(C)C
4UY,C[NH2+][C@H]1CO[C@H]2[C@@H]1[C@H](CO2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)Cc1ccccc1
4UX,C[NH2+][C@H]1CO[C@H]2[C@@H]1[C@H](CO2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)N)CC(C)C)O)Cc1ccccc1
6KK,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC(C)C
6KQ,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)Cc1ccccc1
6KR,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCCO2)O)CC(C)C
8FM,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1[C@H]2CO[C@@H]3[C@@H]([C@H]1CO3)C2)O)CC(C)C
8FP,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@@H](NC(=O)c1cccc(c1)C(=O)N1CCC[C@@H]1c1scc(n1)C)Cc1ccccc1)O)CC(C)C
8HD,OCc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@@H](NC(=O)c1cccc(c1)C(=O)N(Cc1occ(n1)C)C)Cc1ccccc1)O)CC(C)C
7OA,O=C(O[C@H]1[C@H]2CO[C@@H]3[C@@H]([C@H]1CO3)C2)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc2c(c1)sc(n2)NC1CC1)CC(C)C)O)Cc1cc(F)cc(c1)F
HPA,O=c1[nH]cnc2c1nc[nH]2
IMG,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc(N)[nH]c2=O
IMH,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
9PP,Nc1nc(N)c2c(n1)n(cn2)C[C@@H](OCP(O)(O)O)C
HA1,Nc1[nH]c(=O)c2c(n1)n(CCCCC(P(O)(O)O)(F)F)cn2
9D9&9DG,Nc1[nH]c2c(CCCCC(P(O)(O)O)(F)F)c[nH]c2c(=O)[nH+]1
PAP,O[C@@H]1[C@H](OP(O)(O)O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(OP(O)(O)O)(O)O
ATR,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1OP(O)(O)O)n1cnc2c1ncnc2N
139,OC[C@H]1O[C@H](C[C@@H]1OP(OP(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)(O)O)(O)O)n1ccc(=O)[nH]c1=O
C2P,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)n1ccc(=N)[nH]c1=O
A3P,O[C@@H]1[C@H](OP(O)(O)O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(O)(O)O
ADP,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
U2P,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)n1ccc(=O)[nH]c1=O
U3P,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(O)(O)O)O)n1ccc(=O)[nH]c1=O
PUA,O=c1ccn(c(=O)[nH]1)[C@H]1C[C@@H]([C@H](O1)COP(O)(O)O)OP(OP(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(O)(O)O)O)n1cnc2c1ncnc2N)(O)O)(O)O
PAX,Cc1cn([C@H]2C[C@@H]([C@H](O2)COP(O)(O)O)OP(OP(OC[C@H]2O[C@H]([C@@H]([C@@H]2OP(O)(O)O)O)n2cnc3c2ncnc3N)(O)O)(O)O)c(=O)[nH]c1=O
UA3,OC[C@H]1O[C@H]([C@H]([C@@H]1OP(O)(O)O)O)n1ccc(=O)[nH]c1=O
UM3,OC[C@H]1O[C@H](C[C@@H]1OP(O)(O)O)n1ccc(=O)[nH]c1=O
UMF,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(O)(O)O)F)n1ccc(=O)[nH]c1=O
AMP,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(O)(O)O
ATP,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
SFB,OC[C@H]1O[C@H]([C@@H]([C@@H]1CS(=O)(=O)N[C@@H]([C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)O)O)n1ccc(=O)[nH]c1=O
U1S,O=c1ccn(c(=O)[nH]1)[C@@H]1O[C@H]([C@@H]([C@H]1O)O)C[NH+]1CCCCC1
U2S,O=c1ccn(c(=O)[nH]1)[C@@H]1O[C@H]([C@@H]([C@H]1O)O)C[NH+]1CCOCC1
TXS,O[C@@H]1C[C@H](O[C@H]1C[NH+]1CCCC1)n1cc(C)c(=O)[nH]c1=O
0EY,OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)n1nnc(c1)CN1CC=C(NC1=O)O
0FT,OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)n1nnc(c1)CN1CC(=C(NC1=O)O)C
0G0,OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)n1nnc(c1)CN1CC(=C(NC1=O)O)F
OZV,O[C@@H]1[C@@H](COP(OP2(=O)OP(O)(O)OP(OP(O2)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
5FA,O[C@@H]1[C@@H](COP(OP(OP(OP(OP(O)(O)O)(O)O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
ISA,S[C@H](C(=O)O)Cc1ccccc1
RDC,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(C(=O)O1)c(O)cc(c2Cl)O
P2N,O=C1CCCC/C=C/CCOC(=O)c2c(C1)c(Cl)c(cc2O)O
RDA,COc1cc(O)c(cc1O)NC(=O)CCc1c(Cl)c(O)cc(c1C(=O)OC)O
M1S,O=C1CCCCC/C=C/CCOC(=O)c2c(C1)c(Cl)c(cc2O)O
BC6,CO[C@H]1C[C@H](C)Cc2cc(cc(c2)O)NC(=O)/C(=C/CC[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=O)N)C)/C
BC2,CO[C@@H]1[C@@H](C)/C=C(\C)/[C@H](OC(=O)N)[C@@H](C)/C=C\C=C(\C(=O)NC2=CC(=O)C=C([C@@H]([C@H](C[C@@H]1OC)C)OC)C2=O)/C
GDM,CO[C@H]1C[C@H](C)Cc2c(O)c(N[C@@H](O)[C@H](CCC[C@@H]([C@H]([C@@H](C[C@@H]([C@H]1O)C)C)OC(=O)N)OC)C)cc(c2OC)O
A2G,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)NC(=O)C
CMG,Nc1nc(OCC2CCCCC2)c2c(n1)[nH]cn2
NW1,O=Nc1c(OCC2CCCCC2)nc(nc1N)N
U55,Nc1ncnc(c1)Nc1ccc(cc1)S(=O)(=O)N
CK6,CNc1nc(c(s1)c1ccnc(n1)Nc1ccc(cc1)O)C
CK7,Nc1nc(c(s1)c1ccnc(n1)Nc1cccc(c1)N(=O)=O)C
CK8,Cc1nc(c(s1)c1ccnc(n1)Nc1ccc(cc1)N(C)C)C
ZIP,CC(=CCNc1ncnc2c1nc[nH]2)C
LIA,COc1ccc(c(c1C(=O)c1cnc(nc1N)NC1CCN(CC1)S(=O)(=O)C)F)F
CDK,COCCNS(=O)(=O)c1ccc(cc1)Nc1nccc(n1)c1sc(=O)n(c1C)C
Y8L,Cn1c(=O)sc(c1C)c1ccnc(n1)Nc1ccc(cc1)N1CC[NH2+]CC1
I74,O[C@H]1C[NH2+]CC[C@@H]1CNc1cc(NCc2ccccc2)n2c(n1)c(cn2)C(C)C
FB8,CC(n1c(C)ncc1c1ccnc(n1)Nc1ccc(cc1)S(=O)(=O)C)C
FC8,CCn1cnc2c1nc(N[C@@H]1CCCC[C@@H]1[NH3+])nc2Nc1cccc(c1)Cl
HJK,OC(=O)Cc1cccc(c1)c1nc(N)nc2c1[nH]cn2
HH5,Nc1nc(I)c2c(n1)nc[nH]2
4IP,O[C@@H]1[C@H](OP(O)(O)O)[C@@H](OP(O)(O)O)[C@@H]([C@H]([C@@H]1OP(O)(O)O)O)OP(O)(O)O
KLM,C[NH+](C[C@@H](COc1ccc(cc1)Nc1ncc2c(n1)n(c1ccc3c(c1)CCC3)c(=O)c(=O)[nH]2)O)C
PGH,ONC(=O)COP(O)(O)O
PI5,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@@H](NC(=O)[C@@H](N2CCCC2=O)C(C)C)Cc2ccc(cc2)O)O)Cc2ccc(OCCCNC1=O)cc2)C
PI4,NC(=O)C[C@@H]1NC(=O)CCCOc2ccc(C[C@H](NC1=O)[C@@H](C[N@@H+]1CCCC[C@H]1C(=O)NC(C)(C)C)O)cc2
PI8,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H](C[C@H](C(=O)N[C@@H]2[C@H](O)Cc3c2cccc3)Cc2ccccc2)O)Cc2ccc(cc2)OCCCCCNC1=O)C
PI9,CC(CCN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@H](C(=O)N1)C(C)C)O)C
HBB,CC(CCN(S(=O)(=O)c1ccccc1)C[C@H]([C@H]1NC(=O)[C@@H](NC(=O)CCCOc2ccc(C1)cc2)C(C)C)O)C
MZ1,CC(=O)N[C@H](C(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1cc(F)c(cc1F)F)Cc1cccs1)O)Cc1ccccc1)C
MZ2,O=C(/C=C(/C(F)(F)F)\C)N[C@H]([C@@H](CN(S(=O)(=O)c1cc(F)c(cc1F)F)Cc1cccs1)O)Cc1ccccc1
MZ3,COc1cccc(c1)S(=O)(=O)N(C[C@H]([C@@H](NC(=O)c1cccc(c1C)F)Cc1ccccc1)O)Cc1cccs1
MZ4,COc1cccc(c1)S(=O)(=O)N(C[C@H]([C@@H](NC(=O)c1ccc(c(c1)O)O)Cc1ccccc1)O)Cc1cccs1
MZ5,CC[C@@H](CN(S(=O)(=O)c1ccc2c(c1)scn2)C[C@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)O)O)C
MZ6,CC[C@@H](CN(S(=O)(=O)c1ccc2c(c1)scn2)C[C@H]([C@@H](NC(=O)c1cccc(c1)O)Cc1ccccc1)O)C
