PDBCode,vina_deltaG(kcal/mol),vina_kd(uM)
1b51,-8.0,0.39709828301766137
1b52,-8.4,0.19003907581389948
1b58,-9.7,0.017324624734884792
1b5h,-8.1,0.33028148939851953
1b5i,-8.5,0.1580626048714023
1b5j,-8.9,0.07564392150535396
1b6h,-8.5,0.1580626048714023
1b7h,-8.6,0.13146657839569292
1b9j,-8.6,0.13146657839569292
1qka,-9.6,0.02082944081630656
1qkb,-8.6,0.13146657839569292
1b38,-8.9,0.07564392150535396
1e1v,-8.0,0.39709828301766137
1e1x,-8.0,0.39709828301766137
1jsv,-7.2,1.73383676761635
1pxn,-9.5,0.025043290192969626
1pxo,-8.7,0.1093456687565821
1pxp,-9.1,0.05232948799687809
2exm,-6.1,13.15708656454693
2fvd,-10.1,0.008291034774616974
2xmy,-8.7,0.1093456687565821
2xnb,-10.8,0.002283033649063271
5jq5,-10.1,0.008291034774616974
6guh,-10.2,0.006895963621916808
6guk,-9.5,0.025043290192969626
6q4g,-8.0,0.39709828301766137
6q4e,-5.5,39.74132854185163
1b55,-6.5,6.296578650829274
6nfh,-9.8,0.014409538155705594
1b57,-6.7,4.355891793719977
1b6j,-11.6,0.0005228800998152405
1b6k,-11.6,0.0005228800998152405
1b6l,-12.1,0.00020812930739501562
1d4k,-12.2,0.0001731089268669813
1d4l,-10.0,0.00996833240468876
1kzk,-12.3,0.00014398116697790598
1z1h,-10.9,0.001898884448024712
2fgu,-12.1,0.00020812930739501562
2fgv,-12.1,0.00020812930739501562
2qhy,-10.0,0.00996833240468876
2qhz,-10.0,0.00996833240468876
2qi0,-10.0,0.00996833240468876
2qi1,-10.2,0.006895963621916808
2qi3,-8.8,0.09094688111405103
2qi4,-9.6,0.02082944081630656
2qi5,-9.6,0.02082944081630656
2qi6,-9.8,0.014409538155705594
2qi7,-8.2,0.274707463881058
3ekp,-8.7,0.1093456687565821
3ekt,-9.4,0.030109612121622685
3ekv,-9.3,0.03620086398907268
3ekw,-11.1,0.0013136237380730529
3ekx,-11.1,0.0013136237380730529
3el1,-9.9,0.011984951653390958
3el4,-11.9,0.00030085746286093027
3el5,-10.8,0.002283033649063271
3el9,-10.6,0.0033001969779281387
3gi4,-9.7,0.017324624734884792
3gi5,-9.8,0.014409538155705594
3gi6,-9.8,0.014409538155705594
3i7e,-9.6,0.02082944081630656
3mxd,-9.8,0.014409538155705594
3mxe,-10.1,0.008291034774616974
3o9i,-10.0,0.00996833240468876
1b8y,-11.5,0.0006286600870029457
1ciz,-12.7,6.890497661978354e-05
1hfs,-13.0,3.964690270607901e-05
1usn,-7.4,1.19944588426849
2d1o,-8.2,0.274707463881058
2usn,-7.4,1.19944588426849
1bdq,-9.5,0.025043290192969626
1g2k,-11.9,0.00030085746286093027
2aoc,-8.5,0.1580626048714023
2aod,-9.3,0.03620086398907268
2aoe,-8.9,0.07564392150535396
2aog,-9.1,0.05232948799687809
2avm,-9.3,0.03620086398907268
2avq,-8.9,0.07564392150535396
2avs,-11.8,0.00036172170033716864
2bpv,-10.4,0.004770538575984073
2bpy,-11.3,0.0009087479372555044
2f80,-9.9,0.011984951653390958
2f81,-10.1,0.008291034774616974
2f8g,-9.7,0.017324624734884792
2r38,-10.6,0.0033001969779281387
2r3t,-11.8,0.00036172170033716864
2r3w,-11.6,0.0005228800998152405
3bgb,-8.1,0.33028148939851953
3bgc,-9.6,0.02082944081630656
3cyw,-9.3,0.03620086398907268
3cyx,-12.3,0.00014398116697790598
3d1x,-12.2,0.0001731089268669813
3d1y,-12.3,0.00014398116697790598
3d1z,-9.6,0.02082944081630656
1bhf,-6.2,10.943240836149698
1bhx,-8.8,0.09094688111405103
3bv9,-8.8,0.09094688111405103
3da9,-8.7,0.1093456687565821
3po1,-8.0,0.39709828301766137
4hfp,-9.8,0.014409538155705594
1bju,-8.6,0.13146657839569292
1bjv,-9.1,0.05232948799687809
1c1r,-8.6,0.13146657839569292
1c5p,-6.0,15.818798969966572
1c5q,-6.8,3.6229580706211117
1c5s,-6.5,6.296578650829274
1c5t,-6.6,5.2370998915105424
1eb2,-9.2,0.04352439175442664
1f0t,-8.4,0.19003907581389948
1f0u,-8.9,0.07564392150535396
1g36,-9.8,0.014409538155705594
1g3d,-6.7,4.355891793719977
1g3e,-7.4,1.19944588426849
1ghz,-8.3,0.22848446895825622
1gi1,-8.4,0.19003907581389948
1gi4,-8.5,0.1580626048714023
1gj6,-9.7,0.017324624734884792
1k1i,-9.3,0.03620086398907268
1k1j,-8.7,0.1093456687565821
1k1l,-9.3,0.03620086398907268
1k1m,-9.6,0.02082944081630656
1k1n,-8.3,0.22848446895825622
1k1o,-8.0,0.39709828301766137
1o2h,-9.1,0.05232948799687809
1o2j,-8.0,0.39709828301766137
1o2n,-9.4,0.030109612121622685
1o2o,-8.5,0.1580626048714023
1o2q,-9.3,0.03620086398907268
1o2r,-9.9,0.011984951653390958
1o2w,-8.4,0.19003907581389948
1o2z,-8.3,0.22848446895825622
1o30,-8.5,0.1580626048714023
1o33,-8.3,0.22848446895825622
1o35,-8.2,0.274707463881058
1o36,-8.3,0.22848446895825622
1o38,-8.7,0.1093456687565821
1o3d,-9.2,0.04352439175442664
1o3f,-9.1,0.05232948799687809
1o3i,-8.9,0.07564392150535396
1o3j,-8.3,0.22848446895825622
1o3l,-8.4,0.19003907581389948
1oyq,-8.3,0.22848446895825622
1qb1,-9.6,0.02082944081630656
1qb6,-9.1,0.05232948799687809
1qb9,-10.0,0.00996833240468876
1qbn,-8.8,0.09094688111405103
1qbo,-10.3,0.00573563078282912
1ql7,-9.1,0.05232948799687809
1tx7,-6.9,3.0133496888978124
1utn,-4.8,144.32408259298433
1uto,-4.6,208.62500270683435
1v2j,-5.8,22.866571667288486
1v2k,-10.9,0.001898884448024712
1v2l,-5.8,22.866571667288486
1v2n,-10.2,0.006895963621916808
1v2o,-8.0,0.39709828301766137
1v2r,-7.6,0.8297611725390291
1v2s,-5.9,19.01898263149658
1v2t,-8.0,0.39709828301766137
1v2u,-5.8,22.866571667288486
1v2w,-8.1,0.33028148939851953
1xug,-9.5,0.025043290192969626
1y3v,-10.7,0.0027448972201426568
1y3x,-9.9,0.011984951653390958
1yp9,-10.4,0.004770538575984073
2bza,-4.9,120.03973573657015
2fx6,-6.5,6.296578650829274
2zdk,-8.9,0.07564392150535396
2zdl,-8.8,0.09094688111405103
2zdm,-7.5,0.9976239889496118
2zdn,-9.1,0.05232948799687809
2zfs,-9.2,0.04352439175442664
2zft,-9.0,0.06291587782468923
2zq2,-9.7,0.017324624734884792
3aas,-6.6,5.2370998915105424
3aau,-8.9,0.07564392150535396
3gy2,-8.3,0.22848446895825622
3gy3,-8.6,0.13146657839569292
3gy4,-6.5,6.296578650829274
3gy7,-5.8,22.866571667288486
3ljo,-9.1,0.05232948799687809
3m35,-9.5,0.025043290192969626
3nkk,-6.8,3.6229580706211117
4ab9,-5.7,27.492537847388252
4aba,-5.3,57.44734091259698
4abb,-5.4,47.781101379763854
4abd,-5.8,22.866571667288486
4abe,-5.9,19.01898263149658
4abf,-5.7,27.492537847388252
4abg,-5.9,19.01898263149658
4abh,-5.9,19.01898263149658
5mn1,-5.0,99.84153646999208
5mnn,-6.1,13.15708656454693
1bm7,-8.4,0.19003907581389948
1e4h,-6.0,15.818798969966572
2b9a,-7.7,0.6901433917785629
2f7i,-6.6,5.2370998915105424
2g5u,-7.7,0.6901433917785629
3cfn,-8.5,0.1580626048714023
3cft,-7.3,1.4420968673812509
3kgt,-7.7,0.6901433917785629
3kgu,-7.7,0.6901433917785629
3nee,-8.0,0.39709828301766137
3neo,-8.8,0.09094688111405103
3nes,-7.9,0.4774322856020205
3nex,-8.5,0.1580626048714023
3p3r,-7.7,0.6901433917785629
3p3s,-7.5,0.9976239889496118
3p3t,-7.0,2.5063156047025017
4d7b,-7.3,1.4420968673812509
4der,-8.1,0.33028148939851953
4des,-8.1,0.33028148939851953
4det,-7.3,1.4420968673812509
4deu,-8.4,0.19003907581389948
4dew,-6.7,4.355891793719977
5ayt,-8.0,0.39709828301766137
5boj,-6.9,3.0133496888978124
5en3,-7.8,0.5740180632436322
5ihh,-7.8,0.5740180632436322
5l4i,-6.9,3.0133496888978124
5l4j,-6.9,3.0133496888978124
5l4m,-6.6,5.2370998915105424
5u49,-7.6,0.8297611725390291
5u4b,-8.2,0.274707463881058
5u4d,-8.3,0.22848446895825622
1bn1,-7.7,0.6901433917785629
1bn3,-7.7,0.6901433917785629
1bn4,-7.6,0.8297611725390291
1bnn,-7.7,0.6901433917785629
1bnq,-7.2,1.73383676761635
1bnt,-8.4,0.19003907581389948
1bnu,-8.1,0.33028148939851953
1bnv,-7.4,1.19944588426849
1bnw,-7.5,0.9976239889496118
1g1d,-8.1,0.33028148939851953
1g45,-7.8,0.5740180632436322
1g46,-7.9,0.4774322856020205
1g48,-7.8,0.5740180632436322
1g4o,-7.9,0.4774322856020205
1g52,-8.3,0.22848446895825622
1g53,-8.0,0.39709828301766137
1g54,-8.1,0.33028148939851953
1i9n,-8.0,0.39709828301766137
1i9p,-8.0,0.39709828301766137
1if7,-7.8,0.5740180632436322
1if8,-8.1,0.33028148939851953
1ttm,-7.9,0.4774322856020205
1xpz,-7.9,0.4774322856020205
1xq0,-7.4,1.19944588426849
1z9y,-8.1,0.33028148939851953
1zfq,-6.4,7.57039268438389
1zge,-6.4,7.57039268438389
2ez7,-5.2,69.06908553024337
2h15,-8.3,0.22848446895825622
2hl4,-7.6,0.8297611725390291
2hnc,-5.8,22.866571667288486
2hoc,-7.7,0.6901433917785629
2o4z,-4.7,173.5212151917531
2pou,-8.2,0.274707463881058
2pov,-7.8,0.5740180632436322
2pow,-7.6,0.8297611725390291
2q1q,-7.7,0.6901433917785629
2q38,-7.2,1.73383676761635
2weg,-6.7,4.355891793719977
2weh,-7.1,2.0845963989904144
2wej,-6.3,9.101902568663261
2weo,-6.7,4.355891793719977
2x7t,-8.3,0.22848446895825622
2x7u,-8.2,0.274707463881058
3b4f,-8.8,0.09094688111405103
3bl0,-6.0,15.818798969966572
3bl1,-9.6,0.02082944081630656
3d8w,-8.2,0.274707463881058
3d9z,-7.5,0.9976239889496118
3daz,-6.6,5.2370998915105424
3dbu,-7.8,0.5740180632436322
3dc3,-6.9,3.0133496888978124
3dcc,-7.7,0.6901433917785629
3dd0,-7.0,2.5063156047025017
3dd8,-8.3,0.22848446895825622
3eft,-7.9,0.4774322856020205
3f8e,-5.9,19.01898263149658
3ffp,-7.9,0.4774322856020205
3hkn,-7.1,2.0845963989904144
3hkq,-6.3,9.101902568663261
3hkt,-6.3,9.101902568663261
3hku,-9.1,0.05232948799687809
3hs4,-6.9,3.0133496888978124
3ibi,-5.4,47.781101379763854
3ibl,-6.2,10.943240836149698
3ibn,-6.2,10.943240836149698
3ibu,-5.4,47.781101379763854
3igp,-6.9,3.0133496888978124
3k2f,-7.7,0.6901433917785629
3kwa,-4.5,250.83037659878684
3m1k,-4.9,120.03973573657015
3m3x,-7.9,0.4774322856020205
3m40,-7.2,1.73383676761635
3m5e,-7.7,0.6901433917785629
3m67,-8.3,0.22848446895825622
3m96,-9.3,0.03620086398907268
3mhc,-9.1,0.05232948799687809
3mhi,-8.2,0.274707463881058
3mhl,-7.7,0.6901433917785629
3mhm,-8.3,0.22848446895825622
3mho,-7.9,0.4774322856020205
3ml2,-9.0,0.06291587782468923
3mmf,-7.3,1.4420968673812509
3mna,-7.5,0.9976239889496118
3myq,-9.2,0.04352439175442664
3mzc,-7.7,0.6901433917785629
3n0n,-7.9,0.4774322856020205
3n2p,-8.0,0.39709828301766137
3n3j,-7.8,0.5740180632436322
3n4b,-8.4,0.19003907581389948
3nb5,-8.9,0.07564392150535396
3ni5,-7.0,2.5063156047025017
3oil,-8.5,0.1580626048714023
3oim,-9.2,0.04352439175442664
3oku,-9.2,0.04352439175442664
3oy0,-7.2,1.73383676761635
3oyq,-7.3,1.4420968673812509
3p4v,-7.4,1.19944588426849
3p58,-5.3,57.44734091259698
3p5l,-6.7,4.355891793719977
3po6,-7.1,2.0845963989904144
3r16,-7.4,1.19944588426849
3r17,-7.8,0.5740180632436322
3ryj,-7.7,0.6901433917785629
3ryv,-7.2,1.73383676761635
3ryx,-7.8,0.5740180632436322
3ryy,-7.1,2.0845963989904144
3ryz,-8.0,0.39709828301766137
3rz0,-7.1,2.0845963989904144
3rz1,-7.9,0.4774322856020205
3rz5,-7.1,2.0845963989904144
3rz7,-8.1,0.33028148939851953
3rz8,-7.2,1.73383676761635
3s71,-7.3,1.4420968673812509
3s72,-7.0,2.5063156047025017
3s73,-6.6,5.2370998915105424
3s75,-5.6,33.05434886731773
3s76,-5.2,69.06908553024337
3s77,-5.5,39.74132854185163
3s78,-5.7,27.492537847388252
3t5u,-7.1,2.0845963989904144
3t82,-7.2,1.73383676761635
3t83,-7.3,1.4420968673812509
3t84,-7.3,1.4420968673812509
3t85,-7.2,1.73383676761635
3v7x,-8.1,0.33028148939851953
3vbd,-7.8,0.5740180632436322
4bf1,-8.4,0.19003907581389948
4bf6,-7.8,0.5740180632436322
4e3g,-5.4,47.781101379763854
4ht0,-8.1,0.33028148939851953
4itp,-7.8,0.5740180632436322
4iwz,-7.8,0.5740180632436322
4jsa,-6.4,7.57039268438389
4jss,-4.6,208.62500270683435
4jsz,-5.0,99.84153646999208
4kni,-8.1,0.33028148939851953
4knj,-8.3,0.22848446895825622
4m2r,-6.8,3.6229580706211117
4m2u,-7.6,0.8297611725390291
4m2v,-6.6,5.2370998915105424
4m2w,-7.1,2.0845963989904144
4mo8,-6.3,9.101902568663261
4q08,-8.2,0.274707463881058
4q09,-9.1,0.05232948799687809
4q6d,-7.7,0.6901433917785629
4q6e,-7.9,0.4774322856020205
4q7p,-5.7,27.492537847388252
4q7s,-5.1,83.0419389339917
4q7v,-5.5,39.74132854185163
4q7w,-5.2,69.06908553024337
4q81,-5.2,69.06908553024337
4q83,-6.4,7.57039268438389
4q87,-5.9,19.01898263149658
4q8x,-6.5,6.296578650829274
4q8y,-7.1,2.0845963989904144
4q90,-4.3,362.58320203188254
4q99,-5.5,39.74132854185163
4q9y,-5.2,69.06908553024337
4qtl,-8.3,0.22848446895825622
4qy3,-7.0,2.5063156047025017
4r59,-7.0,2.5063156047025017
4r5a,-8.1,0.33028148939851953
4r5b,-7.1,2.0845963989904144
4rfc,-7.2,1.73383676761635
4rfd,-6.4,7.57039268438389
4riu,-7.4,1.19944588426849
4riv,-6.5,6.296578650829274
4rn4,-8.7,0.1093456687565821
4rux,-6.8,3.6229580706211117
4ruy,-6.8,3.6229580706211117
4ruz,-6.6,5.2370998915105424
4yx4,-6.2,10.943240836149698
4yxi,-6.6,5.2370998915105424
4yyt,-6.4,7.57039268438389
4z0q,-8.5,0.1580626048714023
4z1e,-7.7,0.6901433917785629
4z1j,-8.7,0.1093456687565821
4z1k,-8.4,0.19003907581389948
4zwx,-5.8,22.866571667288486
4zwz,-7.1,2.0845963989904144
4zx0,-8.0,0.39709828301766137
4zx1,-7.4,1.19944588426849
5amd,-7.6,0.8297611725390291
5amg,-7.0,2.5063156047025017
5aml,-7.7,0.6901433917785629
5byi,-7.5,0.9976239889496118
5e28,-7.8,0.5740180632436322
5e2k,-7.8,0.5740180632436322
5e2r,-8.7,0.1093456687565821
5e2s,-7.9,0.4774322856020205
5eh5,-6.3,9.101902568663261
5eh7,-6.7,4.355891793719977
5eh8,-6.3,9.101902568663261
5ehv,-7.7,0.6901433917785629
5ehw,-6.0,15.818798969966572
5eij,-7.7,0.6901433917785629
5ekm,-6.9,3.0133496888978124
5fdc,-6.8,3.6229580706211117
5fdi,-7.3,1.4420968673812509
5flo,-6.3,9.101902568663261
5flq,-7.2,1.73383676761635
5fls,-6.5,6.296578650829274
5flt,-7.6,0.8297611725390291
5fng,-6.3,9.101902568663261
5gmn,-9.6,0.02082944081630656
5j8z,-7.4,1.19944588426849
5ljq,-8.0,0.39709828301766137
5ljt,-8.7,0.1093456687565821
5llc,-8.7,0.1093456687565821
5lle,-8.5,0.1580626048714023
5llg,-6.5,6.296578650829274
5llh,-9.0,0.06291587782468923
5mjn,-7.9,0.4774322856020205
5n0d,-9.6,0.02082944081630656
5n0e,-9.2,0.04352439175442664
5n1r,-8.1,0.33028148939851953
5n1s,-8.6,0.13146657839569292
5n24,-7.8,0.5740180632436322
5n25,-7.8,0.5740180632436322
5nea,-7.5,0.9976239889496118
5nee,-7.8,0.5740180632436322
5nxg,-7.6,0.8297611725390291
5nxi,-8.3,0.22848446895825622
5nxo,-7.8,0.5740180632436322
5nxp,-8.1,0.33028148939851953
5nxw,-7.6,0.8297611725390291
5ny1,-8.7,0.1093456687565821
5ny3,-9.2,0.04352439175442664
5nya,-6.4,7.57039268438389
5o07,-6.5,6.296578650829274
5sz0,-7.9,0.4774322856020205
5sz1,-8.0,0.39709828301766137
5sz2,-5.5,39.74132854185163
5sz3,-9.1,0.05232948799687809
5sz4,-7.6,0.8297611725390291
5sz5,-7.6,0.8297611725390291
5sz6,-7.6,0.8297611725390291
5sz7,-8.0,0.39709828301766137
5tfx,-9.2,0.04352439175442664
5th4,-5.1,83.0419389339917
5ti0,-5.0,99.84153646999208
5txy,-7.1,2.0845963989904144
5ty9,-6.9,3.0133496888978124
5tya,-6.6,5.2370998915105424
5u0d,-6.7,4.355891793719977
5u0e,-6.3,9.101902568663261
5u0f,-6.4,7.57039268438389
5u0g,-7.0,2.5063156047025017
5uln,-8.1,0.33028148939851953
5vgy,-7.1,2.0845963989904144
5wex,-7.9,0.4774322856020205
5wgp,-5.9,19.01898263149658
6b4d,-7.0,2.5063156047025017
6b59,-9.4,0.030109612121622685
6c7w,-7.3,1.4420968673812509
6c7x,-8.0,0.39709828301766137
6cjv,-5.6,33.05434886731773
6ebe,-8.3,0.22848446895825622
6ecz,-8.9,0.07564392150535396
6eeo,-8.4,0.19003907581389948
6equ,-10.4,0.004770538575984073
6g3q,-6.8,3.6229580706211117
6got,-7.5,0.9976239889496118
6h29,-6.4,7.57039268438389
6h2z,-8.6,0.13146657839569292
6h33,-8.6,0.13146657839569292
6h34,-8.5,0.1580626048714023
6ql2,-6.5,6.296578650829274
6ql1,-8.2,0.274707463881058
6oe1,-8.6,0.13146657839569292
6oe0,-9.4,0.030109612121622685
6odz,-8.2,0.274707463881058
6ic2,-8.2,0.274707463881058
6gxe,-7.8,0.5740180632436322
6gxb,-7.9,0.4774322856020205
6g6t,-8.3,0.22848446895825622
6ugn,-7.8,0.5740180632436322
6ugp,-8.0,0.39709828301766137
6ugr,-7.9,0.4774322856020205
6ugz,-7.8,0.5740180632436322
6uh0,-7.5,0.9976239889496118
1bp0,-7.6,0.8297611725390291
1jmf,-7.9,0.4774322856020205
1jmg,-7.1,2.0845963989904144
1bq4,-7.2,1.73383676761635
1br6,-8.7,0.1093456687565821
1bxo,-12.1,0.00020812930739501562
1bxq,-8.8,0.09094688111405103
2web,-8.5,0.1580626048714023
2wec,-9.4,0.030109612121622685
2wed,-11.0,0.0015793731942713909
1bzc,-9.1,0.05232948799687809
1bzj,-9.0,0.06291587782468923
1c83,-7.8,0.5740180632436322
1c84,-6.7,4.355891793719977
1c86,-5.7,27.492537847388252
1c87,-5.7,27.492537847388252
1c88,-7.0,2.5063156047025017
1ecv,-5.8,22.866571667288486
1g7f,-7.0,2.5063156047025017
1g7g,-8.1,0.33028148939851953
1gfy,-6.4,7.57039268438389
1kav,-7.6,0.8297611725390291
1l8g,-9.3,0.03620086398907268
1nl9,-8.1,0.33028148939851953
1nny,-7.3,1.4420968673812509
1no6,-8.3,0.22848446895825622
1nwl,-6.6,5.2370998915105424
1nz7,-8.0,0.39709828301766137
1ony,-7.1,2.0845963989904144
1onz,-8.4,0.19003907581389948
1pyn,-7.5,0.9976239889496118
1qxk,-8.9,0.07564392150535396
1xbo,-10.1,0.008291034774616974
2azr,-6.8,3.6229580706211117
2b07,-8.8,0.09094688111405103
2f6t,-9.1,0.05232948799687809
2h4g,-7.4,1.19944588426849
2h4k,-7.7,0.6901433917785629
2hb1,-6.1,13.15708656454693
2nt7,-9.1,0.05232948799687809
2nta,-9.1,0.05232948799687809
