lig_name,SMILE
PUT,[NH3+]CCCC[NH3+]
4UX,C[NH2+][C@H]1CO[C@H]2[C@@H]1[C@H](CO2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)N)CC(C)C)O)Cc1ccccc1
HPA,O=c1[nH]cnc2c1nc[nH]2
9PP,Nc1nc(N)c2c(n1)n(cn2)C[C@@H](OCP(O)(O)O)C
9D9&9DG,Nc1[nH]c2c(CCCCC(P(O)(O)O)(F)F)c[nH]c2c(=O)[nH+]1
PAX,Cc1cn([C@H]2C[C@@H]([C@H](O2)COP(O)(O)O)OP(OP(OC[C@H]2O[C@H]([C@@H]([C@@H]2OP(O)(O)O)O)n2cnc3c2ncnc3N)(O)O)(O)O)c(=O)[nH]c1=O
U3P,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(O)(O)O)O)n1ccc(=O)[nH]c1=O
ADP,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
RDC,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(C(=O)O1)c(O)cc(c2Cl)O
P2N,O=C1CCCC/C=C/CCOC(=O)c2c(C1)c(Cl)c(cc2O)O
RDA,COc1cc(O)c(cc1O)NC(=O)CCc1c(Cl)c(O)cc(c1C(=O)OC)O
M1S,O=C1CCCCC/C=C/CCOC(=O)c2c(C1)c(Cl)c(cc2O)O
BC6,CO[C@H]1C[C@H](C)Cc2cc(cc(c2)O)NC(=O)/C(=C/CC[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=O)N)C)/C
BC2,CO[C@@H]1[C@@H](C)/C=C(\C)/[C@H](OC(=O)N)[C@@H](C)/C=C\C=C(\C(=O)NC2=CC(=O)C=C([C@@H]([C@H](C[C@@H]1OC)C)OC)C2=O)/C
GDM,CO[C@H]1C[C@H](C)Cc2c(O)c(N[C@@H](O)[C@H](CCC[C@@H]([C@H]([C@@H](C[C@@H]([C@H]1O)C)C)OC(=O)N)OC)C)cc(c2OC)O
A2G,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)NC(=O)C
3-mer,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CS)[NH3+]
ATP,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
I74,O[C@H]1C[NH2+]CC[C@@H]1CNc1cc(NCc2ccccc2)n2c(n1)c(cn2)C(C)C
FB8,CC(n1c(C)ncc1c1ccnc(n1)Nc1ccc(cc1)S(=O)(=O)C)C
FC8,CCn1cnc2c1nc(N[C@@H]1CCCC[C@@H]1[NH3+])nc2Nc1cccc(c1)Cl
HJK,OC(=O)Cc1cccc(c1)c1nc(N)nc2c1[nH]cn2
HH5,Nc1nc(I)c2c(n1)nc[nH]2
4IP,O[C@@H]1[C@H](OP(O)(O)O)[C@@H](OP(O)(O)O)[C@@H]([C@H]([C@@H]1OP(O)(O)O)O)OP(O)(O)O
KLM,C[NH+](C[C@@H](COc1ccc(cc1)Nc1ncc2c(n1)n(c1ccc3c(c1)CCC3)c(=O)c(=O)[nH]2)O)C
5-mer,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2
478,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
DR7,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)c1ccccn1)C[C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O
ROC,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2
44U,CCCNC(=O)[C@@H]1CCCN1C(=O)[C@@H](C(c1ccccc1)c1ccccc1)[NH3+]
MKY,CCOC(=O)Cn1c(sc2c1ccc(c2)O)[NH+]=C(N)N
15U,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@@H](NS(=O)(=O)c1cccc2c1NC[C@H](C2)C)CCC[NH+]=C(N)N
FD1,OC(=O)[C@H]1CCCCN1C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2+])N
FD2,COC(=O)[C@@H]1CCN(CC1)C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2+])N
FD3,O=C([C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2+])N)N1CC[NH2+]CC1
FD4,O=C([C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2+])N)N1CCN(CC1)C(=O)C
CCR,COc1cc(C)c(c(c1C)C)S(=O)(=O)N[C@H](C(=O)N[C@@H](C(=O)N1CCCCC1)Cc1ccc(cc1)C(=[NH2+])N)CC(=O)O
ZEN,Clc1ccc2c(c1)ccc(c2)S(=O)(=O)N1CCN(CC1)C(=O)C1CCN(CC1)c1ccncc1
ABN,[NH3+]Cc1ccccc1
PEA,[NH3+]CCc1ccccc1
50U,O=C([C@@H]1CCCN1C(=O)CCC1CCCCC1)NCc1ccc(cc1)C(=[NH2+])N
45U,O=C([C@@H]1CCCN1C(=O)COC1CCCC1)NCc1ccc(cc1)C(=[NH2+])N
46U,O=C([C@@H]1CCCN1C(=O)COC1CCCCC1)NCc1ccc(cc1)C(=[NH2+])N
49U,O=C([C@@H]1CCCN1C(=O)CCC1CCCC1)NCc1ccc(cc1)C(=[NH2+])N
12U,O=C([C@@H]1CCCN1C(=O)C[NH2+]C1CCCCCC1)NCc1ccc(cc1)C(=[NH2+])N
10U,O=C([C@@H]1CCCN1C(=O)C[NH2+]C1CCCC1)NCc1ccc(cc1)C(=[NH2+])N
13U,O=C([C@@H]1CCCN1C(=O)C[NH2+]C1CCCCCCC1)NCc1ccc(cc1)C(=[NH2+])N
BRN,NC(=[NH2+])c1ccc(cc1)N/N=N\c1ccc(cc1)C(=[NH2+])N
PNT,NC(=[NH2+])c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=[NH2+])N
PBZ,Nc1ccc(cc1)C(=[NH2+])N
BEN,NC(=[NH2+])c1ccccc1
11U,O=C([C@@H]1CCCN1C(=O)C[NH2+]C1CCCCC1)NCc1ccc(cc1)C(=[NH2+])N
JLZ,Cc1ccc(cc1F)C(=[NH2+])N
VXQ,[NH3+]Cc1ccc2c(c1)cco2
SW1,[NH3+]Cc1csc(n1)c1cccs1
K9S,[NH3+]Cc1csc2c1cccc2
SW2,[NH3+]Cc1cccc(c1)n1cccc1
913,[NH3+]Cc1cccc(c1)n1cccn1
513,[NH3+]Cc1csc2c1cc(Br)cc2
91B,[NH3+]Cc1cccc(c1)N1CC[NH+](CC1)C
7Z3,[NH3+]Cc1cccc(c1)N1CCCC1
2AP,Nc1ccccn1
MRZ,NC(=[N+]1CCCCC1)N
FLF,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
PBR,Brc1c(O)c(Br)c(c(c1Br)Br)Br
FBC,OC(=O)c1ccc(cc1)c1cc(F)cc(c1)F
26C,Fc1cccc(c1c1ccc(cc1)C(=O)O)F
PCQ,Clc1cc(cc(c1O)Cl)c1cc(Cl)c(c(c1)Cl)O
2AN,OS(c1cccc2c1c(ccc2)Nc1ccccc1)(O)O
5NS,Nc1cccc2c1cccc2S(O)(O)O
GEN,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O
B72,OC(=O)COc1cc(C)c(c(c1)C)Cc1ccc(c(c1)C(C)C)O
G24,OC(=O)COc1cc(C)c(c(c1)C)Cc1ccc(c(c1)Cc1ccccc1)O
3M1,Fc1ccccc1C(=O)c1cc(O)c(c(c1)N(=O)=O)O
3M2,CN1/C(=C\c2cc(Br)c(c(c2)Br)O)/C(=O)NC1=[NH2+]
3M3,Fc1ccccc1OCCCc1c(C)n[nH]c1C
TCW,Cc1ccc(cc1)C(=O)c1cc(O)c(c(c1)N(=O)=O)O
AGI,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O
57D,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1
KMP,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O
NAR,Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
LU2,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O
4TX,Cc1ccc(c(c1)OCCCC(C(=O)O)(C)C)C
7LU,Clc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O
6B5,COc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O
6J3,OC(=O)c1cccnc1Nc1cccc(c1C)Cl
6JD,Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O
SBK,OC(=O)COc1nc(Cl)c(cc1Cl)Cl
S2L,Oc1ccc(c(c1)Cl)/C=C/c1cc(O)cc(c1)O
XOS,Oc1ccc(cc1)/C=C/c1cccc(c1)C(=O)O
XLO,Oc1ccc(c(c1)Cl)/C=C/c1cccc(c1)C(=O)O
AL5,Cc1ccc(cc1)CNS(=O)(=O)c1ccc(s1)S(=O)(=O)N
AL6,COc1cccc(c1)N1C=Cc2c(S1(=O)=O)sc(c2)S(=O)(=O)N
AL9,COc1ccc(cc1)CNS(=O)(=O)c1ccc(s1)S(=O)(=O)N
AL1,COc1cccc(c1)N1CCc2c(S1(=O)=O)sc(c2)S(=O)(=O)N
AL4,COCCN1C[C@H]([NH2+]CC)c2c(S1(=O)=O)sc(c2)S(=O)(=O)N
AL2,COc1ccc(cc1)N1C[C@H](O)c2c(S1(=O)=O)sc(c2)S(=O)(=O)N
AL3,O[C@H]1CN(Cc2cccs2)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
AL7,C[NH2+][C@@H]1CN(c2cccc(c2)OC)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
TPD,O=S(=O)(c1ccc(s1)S(=O)(=O)N)NCc1cccs1
FSB,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1ccccc1F
F2B,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1cccc(c1F)F
F6B,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1c(F)cccc1F
BSB,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1ccccc1
FFB,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1c(F)c(F)c(c(c1F)F)F
IOA,Fc1ccc(c(c1)CNC(=O)c1ccc(cc1)S(=O)(=O)N)F
IOE,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1c(F)cc(cc1F)F
SBR,C[C@@H](Cn1ccc2c1cccc2)CNC(=O)c1ccc(cc1)S(=O)(=O)N
SBS,C[C@H](Cn1ccc2c1cccc2)CNC(=O)c1ccc(cc1)S(=O)(=O)N
667,O=c1oc2cc(ccc2c2c1CCCCC2)OS(=O)(=O)N
4TZ,N#Cc1ccc(cc1)N(n1cnnc1)Cc1ccc(cc1)OS(=O)(=O)N
4TR,N#Cc1ccc(cc1)N(n1cnnc1)Cc1ccc(c(c1)Br)OS(=O)(=O)N
DHI,OC(=O)[C@H]([NH3+])Cc1c[nH]cn1
FBV,Fc1ccccc1S(=O)(=O)N
FB1,Clc1ccccc1S(=O)(=O)N
FB2,NS(=O)(=O)c1ccccc1
FBW,Fc1cccc(c1)S(=O)(=O)N
JS7,COc1ncnc(c1N(=O)=O)NCCc1ccc(cc1)S(=O)(=O)N
J45,O=N(=O)c1c(ncnc1Cl)Nc1ccc(cc1)S(=O)(=O)N
JDR,O=Cc1c(NCc2ccc(cc2)S(=O)(=O)N)nc(nc1Cl)SC
E36,O=C(c1ccc(c(c1)S(=O)(=O)N)Cl)CSc1nc2c([nH]1)cc1c(c2)OCCO1
E38,Brc1ccc2c(c1)nc([nH]2)SCC(=O)c1ccc(c(c1)S(=O)(=O)N)Cl
J90,O=N(=O)c1c(ncnc1O)NCc1ccc(cc1)S(=O)(=O)N
J71,COc1ncnc(c1N(=O)=O)NCc1ccc(cc1)S(=O)(=O)N
J75,O=N(=O)c1c(NCc2ccc(cc2)S(=O)(=O)N)ncnc1NCc1ccccc1
J43,O=Cc1c(Nc2ccc(cc2)S(=O)(=O)N)nc(nc1Cl)SC
E27,O=C(c1ccc(c(c1)S(=O)(=O)N)Cl)CSc1nc2c([nH]1)c1ccccc1nc2
RYJ,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(F)(F)F
RYV,CCNC(=O)c1ccc(cc1)S(=O)(=O)N
RYX,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(F)(F)F)(F)F
RYY,CCCNC(=O)c1ccc(cc1)S(=O)(=O)N
RYZ,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(C(F)(F)F)(F)F)(F)F
RZ0,CCCCNC(=O)c1ccc(cc1)S(=O)(=O)N
RZ1,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
RZ5,CCCCCNC(=O)c1ccc(cc1)S(=O)(=O)N
RZ7,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
RZ8,CCCCCCNC(=O)c1ccc(cc1)S(=O)(=O)N
EVD,NS(=O)(=O)c1cc2c(o1)cccc2
EVE,NS(=O)(=O)c1nc2c([nH]1)cccc2
EVF,NS(=O)(=O)c1nc2c(s1)cccc2
EVG,NS(=O)(=O)c1ccco1
EVH,NS(=O)(=O)c1ncc[nH]1
EVI,NS(=O)(=O)c1nccs1
EVJ,NS(=O)(=O)c1cccs1
V50,Cc1cc(C)nc(n1)Sc1c(F)c(F)c(c(c1F)F)S(=O)(=O)N
E1E,Cc1cc(C)nc(n1)SCC(=O)c1ccc(c(c1)Cl)S(=O)(=O)N
E1F,O=C(c1ccc(c(c1)Cl)S(=O)(=O)N)CSc1ncccn1
V90,OCCSc1c(F)c(NC2CCCCCCC2)c(c(c1F)F)S(=O)(=O)N
V14,OCCS(=O)(=O)c1c(NC2CCCCCCC2)c(F)c(c(c1F)F)S(=O)(=O)N
WW3,NS(=O)(=O)c1ccc(cc1)/N=N/N1CCCCCC1
KR5,Cc1nn(c(c1)C)C(=O)CCNc1ccc(cc1)S(=O)(=O)N
WWO,OCCS(=O)(=O)c1c(NCc2ccccc2)c(F)c(c(c1F)F)S(=O)(=O)N
4J8,Cc1ccc(cc1)S(=O)(=O)N
S2O,OCCc1ccc(cc1)S(=O)(=O)N
XCZ,Cc1ccnc(n1)S(=O)(=O)N
5O5,Clc1ccc(cc1Cl)OCc1nnn[nH]1
5O6,COc1ccc(cc1)/C(=C/C(=O)O)/C
5ON,OC(=O)/C=C/c1cccc(c1)OCc1cccc(c1)CC(=O)O
5OO,OC(=O)/C=C/c1ccc(cc1Cl)Cl
TG5,CCCC[NH2+]CC(=O)Nc1ccc(cc1)S(=O)(=O)N
J4K,Clc1ccc(cc1)OCc1nnn[nH]1
IO2,OC(=O)Cc1ccc(cc1)OCc1ccccc1
6ZX,C/C(=C\C(=O)O)/c1ccc(cc1)Cl
VJJ,OC(=O)c1cccc(c1)Oc1ccccc1
YIE,Clc1ccc(cc1)Cc1nnn[nH]1
949,Fc1cccc(c1)C1=C(OC(C1=O)(C)C)c1ccc(cc1)S(=O)(=O)N
V26,CNc1c(F)c(c(c(c1S(=O)(=O)CCc1ccccc1)F)F)S(=O)(=O)N
V51,Fc1c(N[C@]23C[C@H]4C[C@@H](C3)C[C@@H](C2)C4)c(F)c(c(c1F)S(=O)(=O)N)F
VD9,CCCSc1ccc(cc1)S(=O)(=O)N
V49,Fc1c(Sc2nc3c(s2)cccc3)c(F)c(c(c1F)S(=O)(=O)N)F
7Q1,O=C1NC(=O)O[C@@H]1c1ccccc1
7QV,COc1cc(OC)ccc1[C@H]1OC(=O)NC1=O
7QS,O=C1NC(=O)S[C@@H]1c1ccccc1
7R7,COc1cc(OC)ccc1[C@H]1OC(=S)NC1=O
7R4,O=C1NC(=S)S[C@@H]1Cc1ccccc1
7R1,COc1cc(OC)ccc1C[C@H]1SC(=S)NC1=O
7QY,COc1cc(OC)ccc1C[C@H]1SC(=O)NC1=O
9AA,COc1cc(OC)ccc1C[C@@]1(O)NC(=S)NC1=O
EZL,CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N
ENN,CCCCNC(=O)c1cc(c(cc1Cl)Cl)S(=O)(=O)N
UMP,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(=O)[nH]c1=O
968,Oc1ccc2c(c1)c(ccc2)N(c1ccccc1C(=O)O)C(=O)C(=O)O
OTA,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
IMU,O[C@H]1[C@@H]([NH2+][C@@H]([C@H]1O)COP(O)(O)O)c1c[nH]c2c1nc(N)[nH]c2=O
GDP,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
DSS,CSC[S@@](=O)C
BUQ,CC(=O)CCO
BTN,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
IMI,NC1=[NH+][C@@H]2[C@H](N1)[C@H](CCCCC(=O)O)SC2
DTB,OC(=O)CCCCC[C@H]1NC(=O)N[C@H]1C
ZOF,O=CCCCCCNC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1[NH+]=C(N2)N
T21,O=c1[nH]ccc2c1cc(o2)c1cccc(c1)C(F)(F)F
MT6,COC(=O)c1cccc(c1)c1oc2c(c1)c(=O)[nH]cc2
6F3,CNS(=O)(=O)c1cccc(c1)c1oc2c(c1)C(=O)N=CC2
6FX,COC(=O)c1cncc(c1)c1oc2c(c1)c(=O)[nH]cc2
PSQ,OC(=O)[C@H](CCCN[P@@](=O)(NS(O)(O)O)N)[NH3+]
PRZ,COc1nccnc1CC(C)C
R18,O=C1CCC2=C3C=C[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C)O)C
DXC,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C
EQU,Oc1ccc2c(c1)ccc1c2CC[C@]2([C@H]1CCC2=O)C
DZ7,COc1cc2c(cc1OC)C=C(C2=O)C[C@@H]1CC[N@H+](CC1)Cc1ccccc1
DZ0,COc1ccc2c(c1)C=C(C2=O)C[C@@H]1CC[N@H+](CC1)Cc1ccccc1
H7Z,C[C@H]1N([C@@H]2CC[N@H+](CC2)C2CCCCC2)C(=O)c2c1cccc2C(=O)N
H7W,C[C@@H]1N([C@@H]2CC[N@H+](CC2)C2CCCCC2)C(=O)c2c1cccc2C(=O)N
1WJ,CNc1nc2c([nH]1)c(CC[C@H]1O[C@H]([C@@H]([C@@H]1O)OC)OC)c1c(c2)c(=O)[nH]c([nH+]1)N
1WK,CO[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CCc1c2nc([nH]c2cc2c1[nH+]c(N)[nH]c2=O)NC
2WU,CNc1nc2c([nH]1)cc1c(c2)c(=O)[nH+]c([nH]1)N
2YM,Nc1[nH]c2cc3[nH]c(nc3cc2c(=O)[nH+]1)NCC[NH+]1CCCCC1
2YO,O=c1nc[nH]c2c1cc1nc([nH]c1c2)NCC[NH+]1CCCCC1
SAQ,O=c1[nH]cnc2c1cc1nc([nH]c1c2)NCc1cccs1
SQO,O=c1[nH]cnc2c1cc1nc([nH]c1c2)NCC[NH+]1CCOCC1
S98,CNc1nc2c([nH]1)cc1c(c2)c(=O)[nH+]c([nH]1)N
A4P,Nc1nc2ncc(nc2c(=O)[nH]1)COP(OP(OP(OP(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)(O)O)(O)O)(O)O)(O)O
J1D,O=C(CNC(=O)C1=N[C@H]2C(=O)NC(=[NH+]C2=NC1(C)C)N)NCCS(=O)(=O)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
XBV,FC(C[N@@H+]1C[C@@H]([C@H](C1)C(=O)Nc1ccc(cn1)Cl)C(=O)Nc1ccc(cc1F)n1ccccc1=O)F
184,O[C@@H](c1ccc2c(c1)ccc(c2)C(=O)O)c1ccc2c(c1)C(C)(C)CCC2(C)C
564,O=C(c1ccc2c(c1)ccc(c2)C(=O)O)c1ccc2c(c1)C(C)(C)CCC2(C)C
156,O=C(c1ccc2c(c1)C(C)(C)CCC2(C)C)/C=C/c1ccc(cc1)C(=O)O
254,O/N=C(\c1ccc2c(c1)ccc(c2)C(=O)O)/c1ccc2c(c1)C(C)(C)CCC2(C)C
AEF,[NH3+]CCc1ccc(cc1)O
AEG,C[C@H](Cc1ccc(cc1)O)[NH3+]
AEH,CCc1cc(ccc1O)CC[NH3+]
AED,[NH3+]CCc1ccc(c(c1)C1CCCCC1)O
G00,CCCCOc1ccc(cc1Cl)CSC(=[NH2+])N
D8Y,Clc1cccc(c1)CCc1cccnc1N
BDJ,Clc1cccc(c1)CN1C(=[NH+]C(C1=O)(C)C)N
RSV,Nc1ccc2c(n1)ccc(c2)c1cscc1
3RU,O=C(CCc1cc2ccccc2nc1N)NCC1CCCCC1
091,O=C1Nc2c([C@]31C[NH2+]CC3)cccc2
0UP,CC(Oc1cc(ccc1O)C[N@H+]1CC[C@@]2(C[C@@H]1C)CN(S(=O)(=O)N2c1cccc(c1)F)C)C
0UQ,CC(Oc1cccc(c1)C[N@H+]1CC[C@@]2(C[C@@H]1C)CN(S(=O)(=O)N2c1cccc(c1)F)C)C
68M,O=C([C@@H](Cc1cc2cc(ccc2nc1N)c1ncccc1C)C)NCCC(C)(C)C
68L,Clc1ccc(nc1)C(=O)Nc1ccc2c(c1)[C@@]1(COC(=[NH+]1)N)c1c(O2)cnc(c1)C1=COCC=C1
68J,O=C(CCc1cc2cc(ccc2nc1N)c1ccccc1C#CCC1(CC1)NC(=O)c1ccc(cc1)F)NCCC(C)(C)C
68K,O=C(CCc1cc2cc(ccc2nc1N)c1ccccc1CCc1ccc(cn1)NC(=O)c1ccc(cc1)F)NCCC(C)(C)C
6BS,O=C(CCc1cc2cc(ccc2nc1N)c1ccccc1C)NCCC(C)(C)C
L3M,CCC[C@@H]([C@@H](C(=O)NCC(C)C)[NH2+]C[C@@H]1Cc2cccc(c2)CCCCc2cc(C(=O)N1)cc(c2)N(S(=O)(=O)C)CCC)O
L3J,CCCN(S(=O)(=O)C)c1cc2CCCCc3cccc(C[C@H](NC(=O)c(c1)c2)C[NH2+][C@@H](C(=O)NCC(C)C)[C@@H](O)C)c3
L4J,CCCC[C@@H](C(=O)NCC(C)C)[NH2+]C[C@@H]1Cc2cccc(c2)CCCCc2cc(C(=O)N1)cc(c2)N(S(=O)(=O)C)CCC
AMQ,OC(=O)[C@H](Cc1c(C)o[nH]c1=O)[NH3+]
KAI,OC(=O)C[C@H]1[C@H](C[NH2+][C@@H]1C(=O)O)C(=C)C
QUS,OC(=O)[C@H](Cn1oc(=O)[nH]c1=O)[NH3+]
G8M,[NH3+][C@@H]([C@@H]1CC[C@@H]1C(=O)O)C(=O)O
3ZA,OC(=O)[C@@H](C[C@@H](C(=O)O)[NH3+])CCC(=O)N(O)C
2J9,Fc1ccc2c(c1)S(=O)(=O)NCN2C1CC1
4ZK,OC(=O)[C@H](Cc1cc(Cl)c(c(c1)c1cncc(c1)O)Cl)[NH3+]
E42,Oc1cccc(c1)c1cccc(c1)C[C@H](C(=O)O)[NH3+]
OPB,CCCC[C@H]1C(=O)N(N(C1=O)c1ccc(cc1)O)c1ccccc1
ANN,COc1ccc(cc1)C(=O)O
OIN,OC[C@H](c1ccccc1)C(=O)O[C@@H]1C[C@H]2CC[C@@H](C1)[N@H+]2C
IMN,COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C
HC4,OC(=O)/C=C/c1ccc(cc1)O
STL,Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O
C0R,OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C
SPD,[NH3+]CCC[NH2+]CCCC[NH3+]
PZZ,OCCCc1cccc2c1[nH]cc2C[NH+](C)C
OLA,CCCCCCCC/C=C\CCCCCCCC(=O)O
TDZ,O=C1NC(=O)[C@H](S1)Cc1ccc(cc1)OC[C@@]1(C)CCc2c(O1)c(C)c(c(c2C)O)C
PAI,OC(=O)C[N@H+](CP(O)(O)O)C[C@H]([C@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)O
3OL,CCCCC[C@@H](CC)O
V15,Nc1nc(CCc2ccccc2)cc(=O)[nH]1
HIC,Cn1cc(nc1)C[C@H]([NH3+])C(=O)O
DCL,OC[C@H](CC(C)C)[NH3+]
LNR,[NH3+]C[C@@H](c1ccc(c(c1)O)O)O
