PDBCode,protID,lig_name
1bn4,P00918,AL9
1bnn,P00918,AL1
1bnq,P00918,AL4
1bnt,P00918,AL2
1bnu,P00918,AL3
1bnv,P00918,AL7
1bnw,P00918,TPD
1g1d,P00918,FSB
1g45,P00918,FSB
1g46,P00918,F2B
1g48,P00918,F6B
1g4o,P00918,BSB
1g52,P00918,F2B
1g53,P00918,F6B
1g54,P00918,FFB
1i9n,P00918,IOA
1i9p,P00918,IOE
1if7,P00918,SBR
1if8,P00918,SBS
1ttm,P00918,667
1xpz,P00918,4TZ
1xq0,P00918,4TR
2ez7,P00918,DHI
2weg,P00918,FBV
2weh,P00918,FB1
2wej,P00918,FB2
2weo,P00918,FBW
3m3x,P00918,JS7
3m40,P00918,J45
3m5e,P00918,JDR
3m67,P00918,E36
3m96,P00918,E38
3mhi,P00918,J90
3mhl,P00918,J71
3mhm,P00918,J75
3mho,P00918,J43
3myq,P00918,E27
3ryj,P00918,RYJ
3ryv,P00918,RYV
3ryx,P00918,RYX
3ryy,P00918,RYY
3ryz,P00918,RYZ
3rz0,P00918,RZ0
3rz1,P00918,RZ1
3rz5,P00918,RZ5
3rz7,P00918,RZ7
3rz8,P00918,RZ8
3s71,P00918,EVD
3s72,P00918,EVE
3s73,P00918,EVF
3s75,P00918,EVG
3s76,P00918,EVH
3s77,P00918,EVI
3s78,P00918,EVJ
4ht0,P00918,V50
4kni,P00918,E1E
4knj,P00918,E1F
4q08,P00918,V90
4q09,P00918,V14
4q6d,P00918,WW3
4q6e,P00918,KR5
4qtl,P00918,WWO
4yx4,P00918,FB2
4yxi,P00918,4J8
4yyt,P00918,S2O
5eh5,P00918,XCZ
5eh7,P00918,5O5
5eh8,P00918,5O6
5ehv,P00918,5ON
5ehw,P00918,5OO
5ekm,P00918,TG5
5flo,P00918,J4K
5flq,P00918,IO2
5fls,P00918,6ZX
5flt,P00918,VJJ
5fng,P00918,YIE
5gmn,P00918,949
5llc,P00918,V26
5lle,P00918,V51
5llg,P00918,VD9
5llh,P00918,V49
5txy,P00918,7Q1
5ty9,P00918,7QV
5tya,P00918,7QS
5u0d,P00918,7R7
5u0e,P00918,7R4
5u0f,P00918,7R1
5u0g,P00918,7QY
5vgy,P00918,9AA
6ql2,P00918,EZL
6ql1,P00918,V50
6g6t,P00918,ENN
1bp0,P00469,UMP
1jmf,P00469,UMP
1jmg,P00469,UMP
1onz,P18031,968
5k9w,P18031,OTA
5ka1,P18031,OTA
5ka7,P18031,OTA
5ka9,P18031,OTA
5kab,P18031,OTA
5kad,P18031,OTA
1bzy,P00492,IMU
1d2e,P49410,GDP
1d7i,P62942,DSS
1d7j,P62942,BUQ
1df8,P22629,BTN
1swg,P22629,BTN
1swr,P22629,BTN
2izl,P22629,IMI
3rdo,P22629,BTN
3rdq,P22629,DTB
3wzn,P22629,BTN
3x00,P22629,ZOF
4y59,P22629,T21
4y5d,P22629,MT6
5b5f,P22629,6F3
5b5g,P22629,6FX
5n99,P22629,5-mer
1duv,P04391,PSQ
1dzk,P81245,PRZ
1e3g,P10275,R18
1xow,P10275,R18
1e3v,P07445,DXC
1ogx,P07445,EQU
5g2g,P07445,EQU
5nap,P04058,DZ7
5nau,P04058,DZ0
6i8t,P26446,H7Z
6i8m,P26446,H7W
4lbu,P28720,1WJ
4leq,P28720,1WK
4pum,P28720,2WU
4q4o,P28720,2YM
4q4p,P28720,2YO
4q4q,P28720,SAQ
4q4r,P28720,SQO
4q4s,P28720,S98
1ex8,P26281,A4P
4f7v,P26281,J1D
1ez9,P0AEX9,4-mer
2xbv,P00742,XBV
1fao,Q9UN19,4IP
1fch,P50542,5-mer
1fcx,P13631,184
1fcy,P13631,564
1fcz,P13631,156
1fd0,P13631,254
3bra,P56817,AEF
3buf,P56817,AEG
3bug,P56817,AEH
3buh,P56817,AED
3kmx,P56817,G00
3kmy,P56817,D8Y
3l59,P56817,BDJ
3rsx,P56817,RSV
3ru1,P56817,3RU
3udh,P56817,091
4fm7,P56817,0UP
4fm8,P56817,0UQ
5i3v,P56817,68M
5i3w,P56817,68L
5i3x,P56817,68J
5i3y,P56817,68K
5ie1,P56817,6BS
6nv9,P56817,L3M
6nv7,P56817,L3J
6nw3,P56817,L4J
1ftm,P19491,AMQ
1p1n,P19491,KAI
1p1o,P19491,QUS
1p1q,P19491,AMQ
4g8m,P19491,G8M
4igt,P19491,3ZA
4n07,P19491,2J9
5cbr,P19491,4ZK
5cbs,P19491,E42
1q7a,P59071,OPB
1sv3,P59071,ANN
2arm,P59071,OIN
3h1x,P59071,IMN
4qem,P59071,HC4
4qer,P59071,STL
4qf7,P59071,C0R
4qf8,P59071,SPD
4qgd,P59071,PZZ
1fzq,Q9WUL7,GDP
1g74,P04117,OLA
2ans,P04117,2AN
2qm9,P04117,TDZ
1g7v,P0A715,PAI
1g85,P07435,3OL
2v00,P11838,V15
4y3j,P11838,HIC
4y3y,P11838,DCL
4y4j,P11838,LNR
1gwv,P14769,LAT
1o7o,P14769,UDP
1gx8,P02754,RTL
2gj5,P02754,VD3
3nq3,P02754,DKA
3nq9,P02754,OCA
3ueu,P02754,DAO
3uev,P02754,MYR
3uew,P02754,PLM
3uex,P02754,STE
4gny,P02754,SDS
6ge7,P02754,EW8
6gf9,P02754,X90
6gfs,P02754,F15
6ghh,P02754,TDA
6qi7,P02754,PLM
1h0a,O88339,I3P
1h6h,Q15080,PIB
1hk4,P02768,T44
6ezq,P02768,C7K
1hn4,P00592,MJI
3qlm,P00592,PLM
4ej8,P12499,1F1
4ejl,P12499,IOP
1i1e,P10844,DM2
6mnc,P14061,J3Z
1ie9,P11473,VDX
1s19,P11473,MC9
1ii5,P73797,GLU
1ikt,P51659,OXN
3e12,O66496,KD0
1jgl,Q7TS98,EST
1jlr,Q26998,GTP
6s57,Q6PL18,KVT
6s56,Q6PL18,KVZ
4qsu,Q6PL18,TDR
4qsv,Q6PL18,THM
4tt2,Q6PL18,6-mer
4tte,Q6PL18,36Z
4tu4,Q6PL18,37N
4tz2,Q6PL18,39R
5a5q,Q6PL18,6XC
5a81,Q6PL18,78J
1pzi,P32890,1DM
1jyq,P62993,4-mer
3ov1,P62993,5-mer
3ove,P62993,5-mer
3s8l,P62993,5-mer
3s8n,P62993,5-mer
3s8o,P62993,5-mer
6dz3,Q13126,OS6
6dz2,Q13126,OS5
6dz0,Q13126,OS3
6dyz,Q13126,OS2
1k6c,P35963,MK1
1k6p,P35963,XN3
1k6t,P35963,XN1
1k6v,P35963,XN2
1t7j,P35963,478
1kdk,P04278,DHT
1lhu,P04278,EST
1kjr,P17931,3-mer
3t1m,P17931,DQT
5e89,P17931,TD2
5h9r,P17931,TGZ
6eog,P17931,BKK
6eol,P17931,BKH
6qlu,P17931,J62
6qlt,P17931,J5W
6qls,P17931,HRK
6qlr,P17931,J4N
6qlq,P17931,J4E
6qlp,P17931,J3Q
6qlo,P17931,J5E
6qln,P17931,J5Q
6qge,P17931,J1E
6qgf,P17931,J0T
3w07,O26232,U5P
1kmy,P47228,BPY
1lgt,P47228,BP3
1kv1,Q16539,BMU
2baj,Q16539,1PP
2bak,Q16539,AQZ
2bal,Q16539,PQA
2yix,Q16539,YIX
2zb1,Q16539,GK4
3gcp,Q16539,SB2
3gcs,Q16539,BAX
3gcu,Q16539,R48
3hub,Q16539,469
3huc,Q16539,G97
3iw5,Q16539,DF3
3iw6,Q16539,PP0
3o8p,Q16539,BMU
4f9y,Q16539,LM3
5tbe,Q16539,78L
1kyv,Q9UUB1,RBF
1kzn,P0AES6,CBN
4duh,P0AES6,RLI
4zvi,P0AES6,4S4
1lbf,Q06121,137
1lgw,P00720,1AN
1li2,P00720,IPH
1li3,P00720,3CH
1li6,P00720,5MP
4i7j,P00720,BNZ
4i7k,P00720,MBN
4i7l,P00720,IPH
4i7m,P00720,2LP
4i7p,P00720,ES3
4w52,P00720,BNZ
1lke,P09464,DOG
1lnm,P09464,DTX
1n0s,P09464,FLU
1lrh,P13689,NLA
1zc9,P16932,PMP
1m48,P60568,FRG
1m5w,P0A794,DXP
1m7y,P37821,PPG
1m83,P00953,ATP
4unp,P9WKE1,TXW
1n4k,P11881,I3P
2ha2,P21836,SCK
2ha3,P21836,CHT
2ha6,P21836,SCK
2whp,P21836,HI6
4ara,P21836,C56
4arb,P21836,C57
1nf8,P0DPC1,ISC
1os5,P26663,NH1
3cj2,P26663,SX3
3cj4,P26663,SX5
3cj5,P26663,SX6
3mf5,P26663,HJZ
4b73,P26663,4VA
4b74,P26663,1LH
4b76,P26663,PW1
4eo6,P26663,0S2
4eo8,P26663,0S3
4ih5,P26663,12R
4ih6,P26663,1EP
4ih7,P26663,1ER
1nki,Q9I4K6,PPF
1nli,P09989,ADE
3jvs,O14757,AGY
1nw4,Q8I3X4,IMH
1q1g,Q8I3X4,MTI
1nw5,P14751,SAM
1nw7,P14751,SAH
1oar,P01724,AZN
1oau,P01724,SER-DNF
1oba,P15057,CHT
1odi,Q5SID9,ADN
1odj,Q5SID9,GMP
1oe8,P30114,GSH
1ogd,P36946,RIP
1ogz,P00947,EQU
1oif,Q08638,IFM
1w3j,Q08638,OXZ
2cbu,Q08638,CTS
2cbv,Q08638,CGB
2ces,Q08638,GIM
2cet,Q08638,PGI
2j75,Q08638,NOY
2j77,Q08638,NOJ
2j78,Q08638,GOX
2j79,Q08638,GTL
2j7b,Q08638,NTZ
2j7d,Q08638,GI1
2j7e,Q08638,GI2
2j7f,Q08638,GI3
2j7g,Q08638,GI4
2j7h,Q08638,AZF
2vrj,Q08638,NCW
2wc4,Q08638,AMF
5oss,Q08638,AEZ
1ork,P0ACT4,ATC
5js3,P00800,6MG
5jss,P00800,6NG
5jt9,P00800,7AF
5jvi,P00800,6QC
5jxn,P00800,6NN
5lif,P00800,6XO
5lvd,P00800,79F
5lwd,P00800,79E
5m9w,P00800,7GR
5ma7,P00800,7K0
5mnr,P00800,JC2
5n2t,P00800,8KK
5n2z,P00800,8JH
5n31,P00800,8LB
5n34,P00800,8JQ
5n3v,P00800,8L5
5n3y,P00800,8L2
1oxr,P60045,AIN
1td7,P60045,NFL
1oz0,P31335,MS1
1p19,Q4DRC4,IMP
4kfq,P35439,KFQ
1pfu,P00959,MPJ
4qp2,P28482,36R
6hk4,P49841,G8E
6hk3,P49841,G8B
1qaw,Q9X6J6,TRP
1qft,O77421,HSM
1qk3,Q26997,5GP
1qk4,Q26997,IMP
1qkt,P03372,EST
1qy1,P11588,PRZ
1qy2,P11588,IPZ
1r0p,P08581,KSA
3q6w,P08581,Q6W
3r7o,P08581,M61
5ya5,P08581,6TD
1r9l,P0AFM2,BET
1rd4,P20701,L08
3f78,P20701,ICF
1rmz,P39900,NGH
2hu6,P39900,37A
3f15,P39900,HS1
3f16,P39900,HS3
3f17,P39900,HS4
3f18,P39900,HS5
3f19,P39900,HS6
3f1a,P39900,HS7
3lk8,P39900,Z79
3lka,P39900,M4S
3nx7,P39900,NHK
3tsk,P39900,QEG
5cxa,P39900,55L
5czm,P39900,R47
5d3c,P39900,56O
3o56,Q07343,ZG1
2qta,P0AFG8,TDP
1rpj,P39265,ALL
1rr6,P00491,IMH
3k8o,P00491,229
3k8q,P00491,22A
1s5z,P22887,SON
4cp5,P22887,EOI
1sw2,O29280,BET
3mam,O29280,BET
5yjm,P23946,8W3
1t7d,P00803,ARY
1tq4,Q9QZ85,GDP
1u1w,Q51792,3HA
1ucn,P15531,ADP
1uho,O76074,VDN
1usi,P04816,PHE
1usk,P04816,LEU
1utj,P35031,ABN
1utl,P35031,PRA
1utm,P35031,PEA
1uv6,P58154,CCE
1uw6,P58154,NCT
3wtj,P58154,TH4
3wtl,P58154,N1Y
3wtm,P58154,N1Y
3wtn,P58154,N2Y
3wto,P58154,N2Y
4qac,P58154,KK3
1uwf,P08191,DEG
4att,P08191,HNV
4auj,P08191,HNW
4av4,P08191,FVQ
4av5,P08191,FYZ
4avh,P08191,FK9
4avi,P08191,XNS
4avj,P08191,J73
4css,P08191,CWX
4cst,P08191,CWK
4lov,P08191,KGM
4x50,P08191,3X8
4x5p,P08191,3XJ
4x5q,P08191,3XN
4x5r,P08191,3XO
4xo8,P08191,KGM
5fs5,P08191,KGM
6g2s,P08191,EJN
6g2r,P08191,EJK
1uz8,P01811,3-mer
2f34,P22756,UBA
2f35,P22756,UBC
1vyf,P29498,OLA
1vyg,P29498,ACD
1w96,Q00955,S1A
1w9u,Q873X9,5-mer
1w9v,Q873X9,5-mer
1wdn,P0AEQ3,GLN
6md6,Q9XEI3,JSV
1x8d,P32156,RNS
1xap,P10826,TTB
1xk5,O95149,TPG
3ug2,P00533,IRE
1xt8,Q0P9S0,CYS
1xws,P11309,BI1
2c3i,P11309,IYZ
2xj1,P11309,XJ1
2xj2,P11309,985
5ipj,P11309,6CD
1y3n,Q9KWT6,2-mer
1y3p,Q9KWT6,4-mer
1yc1,P07900,4BC
1yc4,P07900,43P
1yet,P07900,GDM
2uwd,P07900,2GG
2xab,P07900,VHD
2xdk,P07900,XDK
2xdl,P07900,2DL
2xdx,P07900,WOE
2xht,P07900,C0Y
2xjg,P07900,XJG
2xjj,P07900,L81
2xjx,P07900,XJX
2yi0,P07900,YI0
2yi7,P07900,BZ8
2yki,P07900,YKI
3b24,P07900,B2J
3b25,P07900,B2K
3b26,P07900,B2L
3b27,P07900,B2T
3d0b,P07900,SNX
3rlp,P07900,3RP
3vha,P07900,VHA
3vhc,P07900,VHC
3vhd,P07900,VHE
3wha,P07900,WHA
4b7p,P07900,9UN
4bqg,P07900,50Q
4egk,P07900,RDC
4fcq,P07900,2N6
5fnc,P07900,IEE
5fnd,P07900,IQ5
5fnf,P07900,TQL
5j20,P07900,6FJ
5j27,P07900,6FJ
5j2x,P07900,6DL
5j64,P07900,6G7
5j6l,P07900,6GC
5j6m,P07900,6FJ
5j6n,P07900,6FF
5j82,P07900,6GV
5j86,P07900,6GW
5j8m,P07900,6DL
5j8u,P07900,6FJ
5j9x,P07900,6GC
5lny,P07900,70K
5nyh,P07900,9EK
5odx,P07900,9RZ
5vyy,P07900,9QY
6ei5,P07900,B5Q
6el5,P07900,PU1
6eln,P07900,P4A
6elo,P07900,BAW
6elp,P07900,BA8
6ey8,P07900,C4T
6ey9,P07900,C4N
6eya,P07900,C4K
6eyb,P07900,C3Z
6f1n,P07900,C8W
6olx,P07900,KFY
6n8x,P07900,KFY
6fcj,P07900,D4W
6hhr,P07900,G5E
1ydk,P08263,GTX
4hj2,P08263,LZ6
4pvx,P14324,YS1
4pvy,P14324,JD1
5ja0,P14324,FPP
2wf5,P71447,BG6
1zhy,P35844,CLR
2a4m,Q9RVD6,TRP
2a5b,P02701,8HG
2a5c,P02701,8DA
2a8g,P02701,GNG
2jgs,P02701,BTN
5chk,P02701,55R
2amt,P62617,1AA
2gzl,P62617,2AA
3elc,P62617,F01
2b4l,P46922,BET
2bfq,O28751,AR6
2bfr,O28751,ADP
2boj,Q9HYN5,ARW
2jdm,Q9HYN5,MFU
2jdp,Q9HYN5,MFU
2jdu,Q9HYN5,MFU
3zdv,Q9HYN5,F1A-MMA
2bt9,Q8XXK6,MFU
4csd,Q8XXK6,MFU
2byr,Q8WSF8,MLK
2bys,Q8WSF8,LOB
2pgz,Q8WSF8,COC
2wn9,Q8WSF8,ZY5
2wnc,Q8WSF8,TKT
2wnj,Q8WSF8,ZY7
2x00,Q8WSF8,GYN
2ymd,Q8WSF8,SRO
2yme,Q8WSF8,CWB
3c79,Q8WSF8,IM4
3c84,Q8WSF8,TH4
4dbm,Q8WSF8,0J0
4xk9,Q8WSF8,41J
5obg,Q8WSF8,SY9
5oaj,Q8WSF8,TKT
5o87,Q8WSF8,NCT
2c1p,Q58EU8,FNZ
2c80,P30113,GTX
2ca8,P30113,GSH
2c92,P9WHE9,TP6
2c94,P9WHE9,TSF
2c97,P9WHE9,JCL
2cbz,P33527,ATP
2cc7,B0R5M0,LUM
2ccb,B0R5M0,RBF
2ccc,B0R5M0,LFN
2ce9,Q04724,5-mer
2cex,P44542,DAN
3b50,P44542,SLB
2d0k,P0ABQ4,FOL
2doo,P52699,C4H
2e2r,P62508,2OH
2p7a,P62508,43M
2p7g,P62508,2OH
2p7z,P62508,OHT
6i67,P62508,H42
6i66,P62508,H4Q
6i65,P62508,H3Z
6i64,P62508,H48
6i63,P62508,2OH
6i62,P62508,27N
6i61,P62508,H3W
2e7f,Q46389,C2F
2ogy,Q46389,C2F
2euk,Q9NZD2,3-mer
2evl,Q9NZD2,3-mer
2ewa,P47811,SB2
2ews,Q6G7I0,ANP
2fqw,P29724,NOS
2fqx,P29724,GMP
2fqy,P29724,ADN
2fw6,Q2QJL3,CIT
2fxu,P68135,BID
2fxv,P42085,5GP
2gh9,Q72I44,MLR
2gl0,Q8ZVF7,ADN
4n9c,P43490,2ZM
2gz2,A0A0H2UPS5,A2P
2h21,Q43088,SAM
2h6b,Q8RPJ2,3C4
2haw,P37487,2PN
2hmu,O32080,ATP
2hmv,O32080,ADP
2hnx,P15090,PLM
2hzl,Q3J1R2,PYR
4dy6,Q8Y8D7,A22
2i4j,P37231,DRJ
2i4z,P37231,DRH
4a4v,P37231,YFD
4a4w,P37231,YFB
4r06,P37231,30000000
5f9b,P37231,5VN
5lsg,P37231,QZQ
6md0,P37231,OLA
6dgr,P37231,GDY
6dgq,P37231,GBV
6dgl,P37231,GEV
2i6b,P55263,89I
2iko,P00797,7IG
2vvn,Q89ZI2,NHT
2w4x,Q89ZI2,STZ
2xm1,Q89ZI2,LTM
2jf4,P13482,VDM
2jg0,P13482,TTZ
2nmx,P00915,M25
2nn1,P00915,M28
2nn7,P00915,M29
2nsj,P0AG18,C2R
2nsl,P0AG18,C2R
2oi2,A0A0H2UNK6,DP6
2oiq,P00523,STI
4ybk,P00523,4B7
2p3i,P12473,MNA
2pqb,Q9R4E4,GG9
2pqc,Q9R4E4,RC1
2pql,Q9BIH3,TSS
2pvu,D0VWX8,LYS
2q2a,D0VWX8,ARG
2py4,P9WNS5,DUP
5ect,P9WNS5,DUP
5edd,P9WNS5,DUP
2pyy,D0VWX9,GLU
2q88,Q92WC8,4CS
2q89,Q92WC8,6CS
2q8h,Q15118,TF4
2qbu,O27402,SAH
2qbw,Q96RT1,8-mer
2qpq,Q7W019,CIT
2qpu,P00693,QPU
3lgs,Q9T0I8,SAH
2r0h,Q206Z5,CTO
2r58,Q9VHA0,MLY
2r5a,Q9VHA0,MLZ
3fh7,P09960,25P
2r75,O66809,01G
2ra6,Q29147,ETY
2rcb,Q8VHN2,DSN
2rcn,Q8ZKB0,GDP
4und,P09874,2YQ
4zzz,P09874,FSU
5xsr,P09874,8EC
6bhv,P09874,DQV
2reg,Q92N37,CHT
2rin,Q92N37,ACH
2rio,P32361,ADP
2uxi,Q9AIU0,G50
2uyn,P0AGL2,2KT
2uyq,Q9CCZ4,SAM
2v25,Q0P9X8,ASP
2v3u,Q63226,DSN
5cc2,Q63226,CKA
2v58,P24182,LZJ
2v59,P24182,LZK
2v7a,P00519,627
3pyy,P00519,3YY
5hu9,P00519,66K
2v95,P31211,HCY
2vb8,P0A953,TLM
2vba,P0A953,P4T
2vc9,A0A0H2YU91,NOK
2vfk,Q6JP77,AMP
2vhj,Q94M05,ADP
2vmf,Q8AAK6,MVL
2vk2,P39325,GZL
2vmc,P42530,NGA
2vmd,P42530,MBG
2vo4,O49235,4NM
2vpn,E1VBK1,4CS
2vpo,E1VBK1,6CS
6gjw,P98170,F2H
2vt3,O05521,ATP
2vuk,P04637,P83
4agl,P04637,P84
4agm,P04637,P86
4agn,P04637,NXG
4ago,P04637,P74
4agp,P04637,P51
4agq,P04637,P96
5a7b,P04637,KMN
5aba,P04637,UL7
5aoi,P04637,RZH
5aoj,P04637,Y0V
5aol,P04637,UFV
5g4m,P04637,O82
5g4n,P04637,O83
5g4o,P04637,O80
5o1d,P04637,9GW
5o1f,P04637,9GQ
5o1h,P04637,9GN
6ggf,P04637,EXQ
6ggb,P04637,EXQ
6gga,P04637,EY2
2vxn,P48499,PGH
2vyt,Q9UQR0,MLZ
2vzr,Q56F26,GCU
2w08,P02743,TPO
3kqr,P02743,OPE
4avs,P02743,N7P
4ayu,P02743,N8P
2w47,A3DK57,UNF
2w8j,Q93UV0,PLS
2w8w,Q93UV0,PLS
2w9h,P0A017,TOP
2we3,P03195,DUT
2wjg,Q57986,GDP
2wor,P31151,2AN
2wos,P31151,6AN
2wq5,P15445,MIY
3myg,O14965,EML
3uo4,O14965,0C0
3uod,O14965,0C3
3up2,O14965,0C8
5orv,O14965,A65
5orw,O14965,A6E
5os2,O14965,A7K
5os4,O14965,A8H
5os5,O14965,A8K
5ose,O14965,A98
2wuf,P9WNH5,KEM
2wvt,Q8A3I4,FHN
2xib,Q8A3I4,DFU
2xii,Q8A3I4,TA9
2wyf,Q05097,GLA-MBG
3zyf,Q05097,147
4a6s,Q05097,GS9
4ljh,Q05097,GAL-MHD
4lk7,Q05097,2-mer
5d21,Q05097,56N
2wzf,Q5ZVS2,UDP-BGC
5zo8,P52732,4C5
2x4z,O96013,X4Z
2x6x,Q9AYY6,6-mer
3n8k,P9WPX7,D1X
2xbp,P0A3F4,ATP
2xde,P12497,1B0
3zso,P12497,O2N
3zsq,P12497,O4N
3zsx,P12497,N44
3zsy,P12497,OM3
3zt2,P12497,ZT2
3zt3,P12497,ZT4
4ahr,P12497,I2E
4ahs,P12497,AKH
4ahu,P12497,ICO
4ceb,P12497,ZSV
4cgi,P12497,NZL
4cig,P12497,X0P
4cj4,P12497,S3G
4cjp,P12497,4D2
4cjq,P12497,VXO
4cjr,P12497,FYM
4ck3,P12497,K1T
4qnb,P12497,1B0
2xn3,P05543,ID8
2xn5,P05543,FUN
2xp7,Q13526,4F8
2xxt,P42260,KAI
2y7i,Q8ZKA9,ARG
2yay,O15826,DUP
2yaz,O15826,UMP
2yb0,O15826,DUR
2ydw,P25440,WSH
2yek,P25440,EAM
4mr6,P25440,1K0
4qev,P25440,31O
4qew,P25440,31P
4uyf,P25440,73B
2yel,O60885,WSH
3p5o,O60885,EAM
3u5j,O60885,08H
3u5l,O60885,08K
3zyu,O60885,1GH
4cfl,O60885,8DQ
4lyw,O60885,21Q
4lzr,O60885,LOC
4lzs,O60885,L46
4mr3,O60885,1K0
4ogj,O60885,2TA
4qb3,O60885,30M
4wiv,O60885,3P2
4xya,O60885,43S
4z93,O60885,4LD
5acy,O60885,9S3
5cp5,O60885,EB0
5cqt,O60885,EB3
5cy9,O60885,E0A
5d0c,O60885,E0B
5d24,O60885,L26
5d25,O60885,56M
5d26,O60885,L28
5d3h,O60885,57G
5d3j,O60885,L33
5d3l,O60885,57F
5d3n,O60885,L40
5d3p,O60885,57E
5d3t,O60885,56Y
5dlx,O60885,5D2
5dw2,O60885,5GD
5dx4,O60885,E0C
5egu,O60885,5NQ
5eis,O60885,5OU
5f5z,O60885,5VY
5f60,O60885,5VZ
5f61,O60885,5W0
5f62,O60885,5W1
5f63,O60885,5W2
5i80,O60885,67B
5i88,O60885,69G
5u28,O60885,82V
5y8y,O60885,8PX
5y94,O60885,8QC
6ckr,O60885,F5V
6cks,O60885,F5Y
6e4a,O60885,HRY
6fo5,O60885,DZH
6q3z,O60885,HG8
6q3y,O60885,HG5
6mh7,O60885,JQY
6mh1,O60885,JQP
6fsy,O60885,E5Q
6ajz,O60885,LOC
6ajy,O60885,A0R
5yqx,O60885,E0K
5wmg,O60885,6JF
5wa5,O60885,4K4
6ajv,O60885,HCC
2yfa,Q88E10,LMR
2yhw,Q9Y223,BM3
2ylc,P0A1R0,U
2ypo,O53512,PHE
5e2l,O53512,DPN
3qkd,Q07817,HI0
3zk6,Q07817,H1I
3zln,Q07817,H0Y
3zlr,Q07817,X0B
4c52,Q07817,X0D
4c5d,Q07817,X0R
3vje,A9JQL9,ZGA
5cqu,P68400,JRJ
5cs6,P68400,K82
5csp,P68400,54G
5cu4,P68400,54S
5h8e,P68400,5Y3
