PDBCode,resolution,release_year,pkd,lig_name
4qsx,1.93,2014,1.74,38S
5y62,3.0,2017,1.74,5GP
5ggj,1.42,2016,1.75,PNA
5zef,2.01,2019,1.75,NVA
4bgx,2.48,2013,1.77,SIA-GAL
3f39,1.85,2009,1.78,IPH
5ggl,1.27,2016,1.78,6ZC
2zgm,1.9,2009,1.79,LAT
1ga8,2.0,2001,1.8,DEL
3rxh,1.7,2011,1.8,HSM
1af6,2.4,1998,1.82,GLC-FRU
1bra,2.2,1994,1.82,BEN
1d5r,2.1,1999,1.82,TLA
1y1m,1.8,2005,1.82,AC5
3eqb,2.62,2008,1.82,LUG
4ahv,1.8,2012,1.82,Z5P
1rdn,1.8,1996,1.84,MAG
1fd7,1.8,2000,1.85,AI1
3khv,2.35,2009,1.85,4AL
1mwt,2.45,2002,1.88,PNM
1tnl,1.9,1994,1.88,TPA
2ay2,2.4,1999,1.88,CXP
4x8s,2.1,2015,1.89,3Z7
1f2p,1.8,2001,1.9,PHE
4mrh,1.12,2014,1.9,2CQ
1f2o,1.7,2001,1.91,LEU
1efi,1.6,2000,1.92,GAT
3ehn,2.8,2009,1.92,NLC
4bh3,2.0,2013,1.92,3-mer
2rjr,2.1,2008,1.94,295
5nn4,1.83,2017,1.94,SC2
4mrf,1.55,2014,1.95,2CK
6abk,1.58,2019,1.95,9VF
1tnj,1.8,1994,1.96,PEA
2gga,1.7,2006,1.96,GPJ
5oxn,2.2,2018,1.96,2-mer
1wdq,1.28,2005,1.98,MAL
6h7u,2.8,2018,1.98,FVT
6hzp,2.5,2018,1.98,TXC
3i3d,2.2,2010,1.99,IPT
1gbt,2.0,1994,2.0,GBS
1ing,2.4,1996,2.0,ST5
2bmv,2.11,2006,2.0,BEN
2hds,1.16,2006,2.0,4MB
2r58,2.0,2007,2.0,MLY
3c2f,2.35,2008,2.0,PRP
3g2y,1.31,2009,2.0,GF4
3pce,2.06,1998,2.0,3HP
3rv3,1.91,2011,2.0,ADP
4awj,2.5,2012,2.0,V6F
4ctk,1.53,2014,2.0,SVN
4kz5,1.35,2014,2.0,1U3
4qsu,1.9,2014,2.0,TDR
4qsv,1.9,2014,2.0,THM
4u58,2.56,2015,2.0,3C6
4y4g,1.44,2016,2.0,GGB
6evq,,2018,2.0,C05
6ra1,2.0,2019,2.0,JVQ
4ty8,2.78,2015,2.03,3AV
5ekx,1.76,2016,2.03,2CQ
5nzq,1.5,2017,2.03,5AO
2ks9,,2010,2.04,11-mer
1jfh,2.03,1998,2.05,MA2-MA3
4e4a,1.45,2012,2.05,JKE
4ty9,2.78,2015,2.05,3B0
4x8t,2.2,2015,2.05,3Z8
5eiw,1.61,2016,2.05,X0V
1qq9,1.53,2000,2.06,MET
1rdi,1.8,1996,2.06,MFU
2zg3,3.0,2008,2.06,SIA
4u54,2.41,2015,2.06,3C5
3ao4,1.95,2011,2.07,833
4b0c,2.7,2012,2.07,C9H
3rxp,1.6,2011,2.08,SW3
5tyh,2.1,2017,2.08,7O4
1njj,2.45,2003,2.1,GET
2zg1,2.7,2008,2.1,SIA
4aml,1.6,2012,2.1,GYU
4cs9,2.01,2014,2.1,AMP
6r49,2.21,2019,2.1,JSB
3uf9,2.68,2012,2.11,FST
6aao,1.4,2019,2.11,9U0
1qx1,1.3,2003,2.12,FMF
2w8w,2.14,2009,2.12,PLS
3gv9,1.8,2009,2.12,GV9
6r9u,1.26,2019,2.12,JVQ
1p2g,2.3,2003,2.13,8-mer
6gz9,3.1,2018,2.13,TXC
6abx,1.7,2019,2.14,FLC
6dim,1.81,2019,2.14,GJP
6djd,1.78,2019,2.14,GJP
1uxb,1.75,2004,2.15,SIA-GAL
3rxg,1.7,2011,2.15,SZ3
4b0j,2.5,2012,2.15,3MQ
4q90,1.54,2015,2.15,4H2
5cs3,2.5,2015,2.15,EP1
6fap,2.7,2018,2.15,D3H
6fi1,2.7,2018,2.15,D3H
6r9s,2.0,2019,2.15,JVN
2ay9,2.5,1999,2.16,5PV
4tim,2.4,1992,2.16,2PG
5fe6,1.77,2016,2.16,5WZ
6ghj,2.26,2018,2.16,3-mer
3gqz,1.8,2009,2.17,GF7
4y3j,1.31,2016,2.17,HIC
5oxk,2.38,2018,2.17,2-mer
5z5f,2.1,2018,2.17,FUB
6gmx,2.53,2018,2.17,F7B
3l7d,2.0,2010,2.18,DK5
6g47,1.5,2018,2.18,SIA
4ahr,1.9,2012,2.19,I2E
4ahs,1.75,2012,2.19,AKH
4amx,2.1,2013,2.19,5GF
4jdf,1.69,2013,2.19,SPD
4mre,1.58,2014,2.19,2C9
5nzp,1.3,2017,2.19,9EW
1w1v,1.85,2005,2.2,ALJ
2vvo,1.85,2008,2.2,A6P
4eh8,2.2,2012,2.2,0OP
1x8d,1.8,2005,2.21,RNS
4g0z,1.75,2012,2.21,5GP
1icj,1.9,1999,2.22,PGO
1m0n,2.2,2002,2.22,HCP
2aac,1.6,1997,2.22,FCB
4aci,1.65,2012,2.22,CIT
4uru,2.83,2015,2.22,6W2
4ury,2.47,2015,2.22,RV1
4x11,2.3,2015,2.22,SIA
5fsb,1.65,2017,2.22,6YR
5hcl,1.5,2017,2.22,5Y9
5jqb,2.68,2016,2.22,IBP
1ajp,2.31,1997,2.23,OMD
2igv,1.67,2007,2.23,2-mer
3ao5,1.8,2011,2.23,BBY
3i3b,2.2,2010,2.23,149
1rdl,1.7,1996,2.24,MMA
2ay8,2.2,1999,2.24,4TB
2os9,1.7,2007,2.24,INS
5f6v,1.49,2016,2.24,5VL
5m9w,1.21,2017,2.24,7GR
5nzo,1.29,2017,2.24,9EZ
1ukt,2.2,2004,2.25,4-mer
1ew8,2.2,2002,2.26,PAE
3ao1,1.9,2011,2.26,BZX
4eh9,2.1,2012,2.26,0OQ
4np2,1.75,2014,2.26,2L1
5v6u,2.8,2017,2.26,8YM
1hge,2.6,1994,2.27,MNA
1uto,1.15,2004,2.27,PEA
4ahu,1.9,2012,2.27,ICO
4mfe,2.61,2013,2.27,3PY
1ps3,1.8,2003,2.28,KIF
2rjs,2.4,2008,2.28,296
3fu0,1.8,2009,2.28,22F
3ip8,1.5,2009,2.28,B85
2ay1,2.2,1999,2.29,AHC
4ddk,1.75,2013,2.29,0HN
4ehv,1.6,2012,2.29,0SJ
5fnj,1.67,2016,2.29,YI6
1hyv,1.7,2001,2.3,TTA
1inh,2.4,1996,2.3,ST6
1jdj,2.2,2002,2.3,CFP
1n1g,2.5,2003,2.3,BCP
1o4g,1.55,2004,2.3,I59
1uxa,1.5,2004,2.3,SIA-GAL
1w1p,2.1,2005,2.3,GIO
2ay7,2.4,1999,2.3,CLT
2hdu,1.49,2006,2.3,F12
2xix,2.4,2011,2.3,XIX
2xlc,2.7,2011,2.3,DEP
3dyo,1.8,2008,2.3,IPT
3kgq,1.7,2010,2.3,CIT
3mhw,1.45,2010,2.3,ABV
3pcg,1.96,1998,2.3,4HP
3rv4,1.98,2011,2.3,ADP
4b6e,2.46,2012,2.3,10L
4e3d,1.6,2012,2.3,GTQ
4g0y,1.65,2012,2.3,AMP
4jsz,1.9,2013,2.3,FB2
4led,2.37,2014,2.3,XXR
4wh7,1.62,2014,2.3,8H8
5enc,1.59,2016,2.3,5QD
5eni,1.69,2016,2.3,5QA
5enj,1.63,2016,2.3,5Q9
5g42,1.72,2016,2.3,4TU
6au2,1.63,2017,2.3,CGJ
6gmq,2.76,2018,2.3,F4K
1m0o,2.4,2002,2.31,MPM
4y0a,1.91,2015,2.31,SKM
5mz8,2.2,2017,2.31,SIN
2qve,2.0,2008,2.32,247
5aol,1.5,2015,2.32,UFV
1z6d,1.54,2005,2.34,IMP
4iie,2.0,2013,2.34,CGB
5elf,1.55,2016,2.34,5-mer
1qi0,2.1,2000,2.35,CBI
3gtc,1.9,2009,2.35,GTC
4k3k,1.85,2013,2.35,SFK
4y3y,1.35,2016,2.35,DCL
1o4j,1.7,2004,2.36,IS2
3g2z,1.5,2009,2.36,GZ2
5fsc,1.95,2017,2.36,G8Z
3t0d,1.93,2012,2.37,149
4jck,1.15,2013,2.37,1LL
6rnt,1.8,1993,2.37,2AM
3f6e,1.34,2008,2.38,8PA
4aj2,1.75,2012,2.38,52C
6md8,1.4,2019,2.38,J84
1f73,1.95,2000,2.39,HMN
1nwl,2.4,2003,2.39,964
4nyt,2.25,2014,2.39,PC
4tya,2.94,2015,2.39,3AE
2wi1,2.3,2009,2.4,ZZ2
3dxg,1.39,2009,2.4,U5P
3l7b,2.0,2010,2.4,DKZ
3pcb,2.19,1998,2.4,3HB
3t2t,1.9,2011,2.4,MQT
4u5l,2.53,2015,2.4,3D6
4y38,1.1,2016,2.4,0A9
4zsm,1.96,2015,2.4,4RW
1o4r,1.5,2004,2.41,787
2wsx,3.5,2010,2.41,NM2
4u5s,2.12,2015,2.41,3D0
6aaq,1.55,2019,2.41,9U9
4u5o,2.0,2015,2.42,3D5
5os3,1.81,2017,2.43,A7N
6mli,1.88,2019,2.43,ARG
1o4h,2.25,2004,2.44,772
1oba,2.45,2003,2.44,CHT
1t4s,2.8,2004,2.44,VAL
2i2b,2.1,2007,2.44,CC5
2xiy,2.2,2011,2.44,XIY
3ked,2.3,2010,2.44,DAB
3l7c,1.93,2010,2.44,DK4
3mjl,1.9,2010,2.44,2AI
4d62,2.5,2015,2.44,SIA
1gbq,,1997,2.46,10-mer
1o4o,1.7,2004,2.46,HPS
2aez,3.05,2006,2.46,DQR
3l79,1.86,2010,2.46,DKX
4ah9,1.7,2012,2.46,0MB
4ddm,1.83,2013,2.46,0HO
4eh6,2.1,2012,2.46,0ON
4x8u,2.1,2015,2.46,3ZB
5aqh,2.0,2016,2.46,ZVO
1tok,1.85,2004,2.47,MAE
1utl,1.7,2004,2.47,PRA
3rik,2.48,2012,2.47,3RI
4gne,1.47,2013,2.47,7-mer
4y4j,1.03,2016,2.47,LNR
5dv4,1.8,2016,2.47,NMY
5jal,2.06,2016,2.47,6HO
6fhq,1.95,2018,2.47,DE5
1gyx,1.35,2002,2.48,BEZ
4u5n,2.31,2015,2.48,3D4
4ze6,1.17,2016,2.48,011
5mn1,0.79,2017,2.48,2AP
5mnb,0.94,2017,2.48,2AP
5mnx,1.42,2017,2.48,2AP
5mon,0.94,2017,2.48,2AP
1o4q,1.7,2004,2.49,256
4efk,1.7,2013,2.49,0OC
4ej2,2.65,2012,2.49,D1F
4kz7,1.43,2014,2.49,1U5
6c3n,2.53,2019,2.49,EHY
1ai4,2.35,1997,2.5,DHY
3g30,1.8,2009,2.51,G30
4ctj,1.47,2014,2.51,3A9
6dji,1.75,2019,2.51,GOG
1rq2,1.86,2004,2.52,CIT
1wdr,1.35,2005,2.52,MAL
3ad7,2.2,2010,2.52,MTG
3bf1,2.3,2008,2.52,ADP
3fq7,2.15,2009,2.52,PXG
3gr2,1.8,2009,2.52,GF4
3mfv,1.9,2010,2.52,Z70
3vdb,2.05,2012,2.52,149
4e3f,1.5,2012,2.52,GRE
4g0q,1.8,2012,2.52,C5P
4urz,2.24,2015,2.52,VJP
5f6d,1.55,2016,2.52,5VJ
5f6u,1.55,2016,2.52,5VK
4hj2,2.1,2013,2.53,LZ6
1iup,1.6,2002,2.54,ALQ
1il3,2.8,2002,2.55,7DG
1kf0,2.5,2002,2.55,ACP
3b3s,1.18,2007,2.55,LEU
3ovn,1.95,2011,2.55,MPV
5eif,1.5,2016,2.55,4M0
5n53,1.48,2017,2.55,8NB
5os0,1.74,2017,2.55,A6Z
1gwv,2.5,2003,2.57,LAT
2ria,1.8,2008,2.57,289
2wq4,1.42,2010,2.57,SFU
3kgp,2.35,2009,2.57,4AZ
5v4q,2.2,2017,2.57,8WY
6poq,1.8,2019,2.57,OVJ
2ay5,2.4,1999,2.59,IOP
2jst,,2008,2.59,HLT
3gvb,1.8,2009,2.59,3GV
4o3a,1.8,2014,2.59,ASP
4o3c,1.5,2014,2.59,ASP
4wef,2.5,2015,2.59,DF4
5tpb,2.6,2017,2.59,3-mer
1o4p,1.9,2004,2.6,791
2c4v,2.5,2006,2.6,CIT
2r5a,2.3,2007,2.6,MLZ
3gwv,2.35,2009,2.6,RFX
3rxf,1.7,2011,2.6,4AP
4up5,1.65,2014,2.6,94W
5g46,1.76,2016,2.6,6VD
6mia,1.4,2019,2.6,1CE
1cze,2.4,2000,2.62,SIN
1w1y,1.85,2005,2.62,TYP
2kfh,,2009,2.62,12-mer
3f37,1.54,2009,2.62,2MY
3f38,1.75,2009,2.62,2MY
3fk1,1.7,2009,2.62,GPF
3rxl,1.7,2011,2.62,SZ9
4lnf,2.95,2013,2.62,GLN
4lno,2.9,2013,2.62,GLN
5foo,2.1,2016,2.62,JAZ
5lvd,1.25,2017,2.62,79F
1ajn,2.36,1997,2.63,AAN
1g5f,1.8,2001,2.64,DCE
1o4i,1.75,2004,2.64,219
3p1d,1.86,2010,2.64,MB3
4i8x,2.23,2013,2.64,6P3
4q7w,1.45,2015,2.64,6MH
4q8y,1.45,2015,2.64,HQT
4ufl,2.4,2015,2.64,DZX
6fhu,2.0,2018,2.64,3-mer
5ey0,1.6,2016,2.65,GTP
1il5,2.8,2002,2.66,DDP
3a1e,1.95,2009,2.66,ACP
3rxb,1.7,2011,2.66,ALG
4y2p,2.05,2015,2.66,3C5
5eld,1.4,2016,2.66,5-mer
3lvw,2.5,2010,2.67,GSH
6prt,1.3,2019,2.67,OWA
1hgi,2.7,1994,2.68,ANA
1o8b,1.25,2003,2.68,ABF
2q72,1.7,2007,2.68,IXX
3rxk,1.6,2011,2.68,SZ8
4b3c,1.9,2013,2.68,5H1
4b3d,1.59,2013,2.68,5MI
5aqj,1.96,2016,2.68,Q88
5aqp,2.08,2016,2.68,1LQ
3elc,2.5,2009,2.69,F01
4usw,2.05,2014,2.69,ATP
5k5s,2.6,2016,2.69,TRP
1br5,2.5,1998,2.7,NEO
1gym,2.2,1996,2.7,MYG
1lt5,1.7,1997,2.7,TDG
1tc1,1.41,1999,2.7,FMB
1ylv,2.15,2000,2.7,SHF
2fzc,2.1,2006,2.7,EOP
2ha4,2.56,2006,2.7,ACH
2krd,,2010,2.7,17-mer
2ohk,2.2,2007,2.7,1SQ
2ow6,1.19,2008,2.7,NK1
2uyn,1.6,2007,2.7,2KT
3bra,2.3,2008,2.7,AEF
3ftz,2.0,2010,2.7,848
3fud,2.2,2009,2.7,692
3fuf,2.6,2009,2.7,14O
3fuh,1.8,2009,2.7,5H1
3gk2,1.98,2009,2.7,27A
3gsg,2.1,2009,2.7,GF1
3hvg,2.26,2009,2.7,EV0
3rqw,2.91,2012,2.7,ACH
3sl0,2.0,2011,2.7,FB5
3zsw,1.8,2012,2.7,ZSW
3zsz,2.0,2012,2.7,OM2
3zt1,1.75,2012,2.7,OM1
4h4b,2.9,2012,2.7,11H
4okp,1.37,2014,2.7,2V0
4old,1.48,2014,2.7,2UZ
4wks,1.63,2014,2.7,3QD
4ypf,2.2,2015,2.7,4FS
4yrc,2.1,2015,2.7,0P6
4yrg,2.15,2015,2.7,4HU
4yrr,2.3,2015,2.7,691
5aok,1.35,2015,2.7,GOH
6fty,1.67,2018,2.7,E7H
6nmb,2.3,2019,2.7,AMH
4kpz,2.09,2014,2.71,1SF
6poh,1.67,2019,2.71,OVG
1pfu,1.91,2004,2.72,MPJ
2rkd,1.9,2008,2.72,3PP
3p4r,3.05,2010,2.72,GUA
5fsx,2.0,2016,2.72,ADP
6dih,1.78,2019,2.72,GJS
1dg9,1.9,1999,2.74,EPE
2qwb,2.0,1998,2.74,SIA
2vyt,1.9,2008,2.74,MLZ
4m6u,1.8,2014,2.74,TTN
4ndu,1.3,2014,2.74,AMG
5os2,1.92,2017,2.74,A7K
6a9c,1.98,2019,2.74,9-mer
1rql,2.4,2004,2.75,VSO
5oyd,2.1,2018,2.75,7-mer
6aan,1.51,2019,2.75,9TX
1ny2,2.3,2003,2.76,5-mer
4bt5,1.1,2013,2.76,23B
5er4,1.81,2016,2.76,5RL
2bet,2.2,2004,2.77,DEZ
2p3o,2.76,2007,2.77,GTA
3fcq,1.75,2009,2.77,M3S
3l0n,1.74,2010,2.77,S5P
4a4h,,2011,2.77,DA2
4g5y,1.8,2013,2.77,0OC
4kz3,1.67,2014,2.77,1U1
4urv,2.58,2015,2.77,UMK
4ykk,1.38,2015,2.77,DSN
5aqn,2.45,2016,2.77,JG8
5oug,2.57,2017,2.77,9Z0
6er4,1.3,2018,2.77,3-mer
6g24,2.1,2019,2.77,EH2
2yiv,1.28,2012,2.78,NBN
3ftw,1.85,2009,2.78,11X
4yrt,2.05,2015,2.78,781
5os4,1.88,2017,2.78,A8H
6aad,1.44,2019,2.79,9TU
2bge,1.8,2005,2.8,T2D
2bza,1.9,1999,2.8,ABN
3zt4,2.2,2012,2.8,ZT2
4kz8,2.28,2014,2.8,1U6
4urw,2.76,2015,2.8,DXO
4yw2,2.0,2015,2.8,2-mer
5fbi,1.47,2016,2.8,5WD
5fov,1.74,2016,2.8,6-mer
5hki,2.4,2017,2.8,6ZJ
5ofw,1.5,2017,2.8,9TW
5zee,1.74,2019,2.8,HAR
6rqk,1.85,2019,2.8,MVL
3djx,1.69,2009,2.81,C5P
4eh4,2.5,2012,2.81,0OL
4oyt,2.4,2014,2.81,FON
4rrg,1.93,2015,2.81,A3T
1czc,2.5,2000,2.82,GUA
1p17,2.7,2004,2.82,IMP
2a3a,2.1,2005,2.82,TEP
2rib,1.8,2008,2.82,GMH
2w6z,1.9,2009,2.82,L21
2xj0,3.1,2011,2.82,XJ0
2yc0,2.15,2011,2.82,2HG
3fue,2.38,2009,2.82,11S
3lka,1.8,2010,2.82,M4S
3ppr,2.1,2011,2.82,4CS
4dsu,1.7,2012,2.82,BZI
4k7i,2.25,2014,2.82,CAQ
4pb1,2.8,2014,2.82,RBV
4z46,1.85,2015,2.82,1PT
5aip,2.3,2016,2.82,4HP
6cw4,,2018,2.82,FGV
6evm,2.0,2018,2.82,9-mer
6mj7,1.41,2018,2.82,ARG
6quw,1.24,2019,2.82,JJQ
4yz5,2.27,2015,2.83,SLT
3fu3,2.0,2009,2.84,92G
3moh,2.1,2010,2.84,PGA
3zt2,1.7,2012,2.84,ZT2
4cgj,2.15,2013,2.84,NZL
1il4,2.6,2002,2.85,9DG
2a29,,2005,2.85,ANP
2ork,1.89,2007,2.85,IPD
3atk,1.74,2011,2.85,SZ1
3k3g,2.4,2009,2.85,MMU
3rxa,1.7,2011,2.85,SZ1
3udh,1.7,2012,2.85,091
4luv,1.4,2013,2.85,1XS
4mlt,2.0,2014,2.85,TM4
4x47,2.0,2015,2.85,DAN
4ym2,2.1,2015,2.85,SGA-BGC
5aqo,2.12,2016,2.85,CWS
5th4,1.47,2017,2.85,BEW
6jjm,2.05,2019,2.85,4-mer
3qx8,2.3,2011,2.86,GTG
3zt3,1.95,2012,2.86,ZT4
4ouj,1.46,2014,2.86,LBT
4pd5,2.91,2014,2.86,GEO
5z1c,1.45,2018,2.86,ZXI
4fgz,1.99,2012,2.87,CQA
5thj,1.5,2017,2.87,0TR
1e34,1.8,2000,2.88,TPX
2woq,1.75,2009,2.88,AYC
4a4f,,2011,2.88,2MR
4ucv,2.6,2015,2.88,I6G
1cet,2.05,1999,2.89,CLQ
1iih,2.2,2001,2.89,3PG
1ugp,1.63,2004,2.89,BUA
2k2r,,2008,2.89,10-mer
2wpb,2.05,2010,2.89,ZZI
2wtx,2.2,2010,2.89,VDO
3f36,1.7,2009,2.89,IP0
3g31,1.7,2009,2.89,GF1
4b35,1.4,2013,2.89,4ME
4cd8,1.47,2014,2.89,2-mer
4gqq,1.35,2012,2.89,0XR
4kzb,1.37,2014,2.89,NZ2
4llx,1.75,2014,2.89,5ZE
4u5u,1.96,2015,2.89,3D2
4urx,2.49,2015,2.89,HXY
5aes,2.75,2015,2.89,5B0
5flt,1.67,2016,2.89,VJJ
5ngz,2.4,2017,2.89,2BG
5orv,1.88,2017,2.89,A65
6b7b,1.98,2017,2.89,CWJ
6f6s,2.29,2018,2.89,CXQ
6mvu,1.49,2018,2.89,K4V
3c2u,1.3,2008,2.9,B3P
5aom,1.74,2015,2.9,FY8
5dv2,2.07,2016,2.9,C5P
1ms0,2.5,2003,2.91,DAN
2ay4,2.2,1999,2.91,PPT
2pri,2.3,1998,2.91,D6G
4kc1,1.5,2013,2.91,WS1
1eef,1.8,2000,2.92,2-mer
1h2k,2.15,2002,2.92,OGA
1o4k,1.57,2004,2.92,PSN
1p6e,2.3,2003,2.92,PC5
1zp5,1.8,2005,2.92,2NI
2aa9,1.5,2006,2.92,SKM
2aay,1.55,2006,2.92,SKM
2fkf,2.0,2006,2.92,G16
2fw6,1.85,2006,2.92,CIT
2fwp,1.85,2006,2.92,CIT
2kfg,,2009,2.92,12-mer
3alt,2.5,2011,2.92,MLB
3iaf,2.8,2010,2.92,TPP
3k8c,2.1,2010,2.92,RES
4ai5,2.22,2012,2.92,ADK
4ef6,1.94,2013,2.92,I2E
4lm3,1.49,2014,2.92,9ZE
4u4s,1.9,2014,2.92,3C1
4x14,2.3,2015,2.92,4-mer
4y2q,2.4,2015,2.92,49N
4zki,3.4,2016,2.92,ADP
5c0k,2.2,2015,2.92,4WK
5ct2,2.0,2015,2.92,CXS
5x4m,1.65,2017,2.92,7ZF
6fv4,1.97,2018,2.92,16G
1tng,1.8,1994,2.93,AMC
3ftv,1.7,2009,2.93,11X
4zv2,1.43,2016,2.93,GLN
1p6d,2.0,2003,2.94,3PC
2vmc,1.9,2008,2.94,NGA
4y62,1.6,2015,2.95,48E
1f4e,1.9,2000,2.96,TPR
1w1t,1.9,2005,2.96,CHQ
1ykp,2.41,2005,2.96,DHB
2br6,1.7,2005,2.96,HSL
2kdh,,2009,2.96,KDH
2w8j,1.5,2009,2.96,PLS
3g34,1.31,2009,2.96,1CE
3imc,1.6,2009,2.96,BZ3
3img,1.8,2009,2.96,BZ3
4bgy,2.68,2013,2.96,3-mer
4dst,2.3,2012,2.96,9LI
4k3l,1.5,2013,2.96,2-mer
4mrg,1.69,2014,2.96,24W
4owm,1.99,2014,2.96,3F0
5fng,2.05,2016,2.96,YIE
6r9x,1.66,2019,2.96,JW2
2hw2,1.45,2007,2.97,RFP
4ceb,1.75,2013,2.97,ZSV
5flq,1.7,2016,2.97,IO2
2rnw,,2008,2.98,15-mer
3ckb,2.3,2008,2.98,MLR
3djq,1.53,2009,2.98,UDP
4ibc,1.75,2014,2.98,12G
5aba,1.62,2015,2.98,UL7
5aqu,1.92,2016,2.98,UX0
3ump,1.85,2012,2.99,ATP
4a4g,,2011,2.99,DA2
4bps,1.08,2013,2.99,3EB
1ecq,2.0,2000,3.0,DXG
1hqg,2.0,2001,3.0,ORN
1mcz,2.8,2003,3.0,RMN
1ux7,1.5,2004,3.0,3-mer
1w7h,2.21,2005,3.0,3IP
1wbg,2.2,2005,3.0,L03
1wbo,2.16,2005,3.0,2CH
1ws4,1.9,2005,3.0,GYP
1yc5,1.4,2005,3.0,NCA
1z9h,2.6,2005,3.0,IMN
1zm7,2.2,2005,3.0,TTP
2f1b,1.45,2006,3.0,GB3
2h2e,2.6,2006,3.0,SA8
2q8h,2.0,2007,3.0,TF4
2r0y,1.75,2007,3.0,13-mer
2rka,1.95,2008,3.0,PGA
2v3u,1.74,2007,3.0,DSN
2vin,1.9,2008,3.0,505
2vtm,2.25,2008,3.0,LZM
2wa3,2.5,2010,3.0,A29
2xgm,2.55,2010,3.0,LXN
2xgo,2.6,2010,3.0,ZKD
2xp3,2.0,2011,3.0,B21
2ych,2.2,2011,3.0,ATP
3ap7,1.53,2011,3.0,3-mer
3d9o,2.0,2008,3.0,14-mer
3eka,3.1,2009,3.0,ASC
3grj,2.49,2009,3.0,G14
3ime,2.39,2009,3.0,BZ2
3nf8,1.9,2011,3.0,CDQ
3nk8,1.15,2010,3.0,JKZ
3ob0,2.85,2011,3.0,2M6
4b2i,1.3,2013,3.0,LZ1
4fe9,2.0,2012,3.0,MTT
4k0o,2.15,2013,3.0,NAG-MBG
4k5z,1.8,2013,3.0,1P7
4k64,2.6,2013,3.0,3-mer
4k72,1.9,2014,3.0,10-mer
4l51,1.9,2013,3.0,HSX
4l5j,2.6,2013,3.0,HSX
4lkh,3.1,2013,3.0,SIA-NAG
4llk,1.55,2014,3.0,MEW
4m5r,1.4,2013,3.0,MSR
4o7d,2.3,2014,3.0,ONL
4oyp,2.28,2014,3.0,BZ2
4oz2,2.1,2014,3.0,1Z6
4r3w,1.91,2014,3.0,A2P
4txs,2.78,2015,3.0,3AQ
